,id,base,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,r101,r102,r103,r104,r105,r106,r107,r108,r109,r110,r111,r112,r113,r114,r115,r116,r117,r118,r119
603,603,0.990,0.990,0.990,0.990,0.990,0.951,0.990,0.990,0.935,0.990,0.990,0.990,0.990,0.933,0.990,0.990,0.990,0.990,0.990,0.990,0.933,0.990,0.990,0.990,0.990,0.990,0.935,0.990,0.935,0.990,0.990,0.990,0.990,0.990,0.935,0.990,0.990,0.990,0.990,0.990,0.935,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.935,0.990,0.935,0.990,0.935,0.990,0.990,0.990,0.935,0.935,0.935,0.990,0.990,0.990,0.990,0.990,0.951,0.990,0.990,0.935,0.990,0.990,0.990,0.990,0.933,0.990,0.990,0.990,0.990,0.990,0.990,0.933,0.990,0.990,0.990,0.990,0.990,0.935,0.990,0.935,0.990,0.990,0.990,0.990,0.990,0.935,0.990,0.990,0.990,0.990,0.990,0.935,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.935,0.990,0.935,0.990,0.935,0.990,0.990,0.990,0.935,0.935,0.935,0.990
604,604,0.994,0.994,0.994,0.994,0.994,0.901,0.994,0.994,0.901,0.994,0.994,0.906,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.901,0.901,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.906,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.901,0.994,0.994,0.994,0.994,0.901,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.901,0.994,0.994,0.901,0.994,0.994,0.906,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.901,0.901,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.906,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.901,0.994,0.994,0.994,0.994,0.901,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994
605,605,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.884,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.957,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.913,0.998,0.998,0.998,0.998,0.998,0.998,0.957,0.957,0.957,0.957,0.957,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.957,0.957,0.957,0.913,0.957,0.998,0.957,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.884,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.957,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.913,0.998,0.998,0.998,0.998,0.998,0.998,0.957,0.957,0.957,0.957,0.957,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.957,0.957,0.957,0.913,0.957,0.998,0.957
606,606,0.458,0.458,0.458,0.572,0.572,0.741,0.458,0.458,0.617,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.741,0.618,0.572,0.458,0.554,0.458,0.458,0.588,0.458,0.572,0.456,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.618,0.630,0.458,0.630,0.588,0.458,0.587,0.588,0.630,0.607,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.572,0.572,0.741,0.458,0.458,0.617,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.741,0.618,0.572,0.458,0.554,0.458,0.458,0.588,0.458,0.572,0.456,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.618,0.630,0.458,0.630,0.588,0.458,0.587,0.588,0.630,0.607,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458
607,607,0.998,0.998,0.998,0.998,0.907,0.998,0.998,0.998,0.907,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.902,0.998,0.998,0.998,0.998,0.998,0.907,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.902,0.902,0.998,0.998,0.998,0.998,0.998,0.998,0.902,0.998,0.998,0.998,0.998,0.907,0.998,0.998,0.998,0.907,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.902,0.998,0.998,0.998,0.998,0.998,0.907,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.902,0.902,0.998,0.998,0.998,0.998,0.998,0.998,0.902,0.998
608,608,0.082,0.398,0.404,0.033,0.082,0.783,0.082,0.364,0.082,0.082,0.407,0.082,0.082,0.082,0.033,0.082,0.082,0.082,0.082,0.082,0.082,0.060,0.677,0.404,0.082,0.677,0.082,0.033,0.677,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.329,0.677,0.404,0.677,0.677,0.082,0.033,0.677,0.677,0.677,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.038,0.082,0.082,0.398,0.404,0.033,0.082,0.783,0.082,0.364,0.082,0.082,0.407,0.082,0.082,0.082,0.033,0.082,0.082,0.082,0.082,0.082,0.082,0.060,0.677,0.404,0.082,0.677,0.082,0.033,0.677,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.329,0.677,0.404,0.677,0.677,0.082,0.033,0.677,0.677,0.677,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.038,0.082,0.082
609,609,0.985,0.985,0.985,0.985,0.985,0.987,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.931,0.985,0.985,0.985,0.985,0.985,0.985,0.987,0.942,0.985,0.985,0.942,0.985,0.933,0.942,0.985,0.985,0.931,0.933,0.931,0.985,0.985,0.985,0.933,0.985,0.985,0.985,0.985,0.985,0.985,0.942,0.985,0.985,0.985,0.985,0.942,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.987,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.931,0.985,0.985,0.985,0.985,0.985,0.985,0.987,0.942,0.985,0.985,0.942,0.985,0.933,0.942,0.985,0.985,0.931,0.933,0.931,0.985,0.985,0.985,0.933,0.985,0.985,0.985,0.985,0.985,0.985,0.942,0.985,0.985,0.985,0.985,0.942,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985
610,610,0.962,0.962,0.962,0.962,0.893,0.909,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.909,0.909,0.909,0.962,0.962,0.962,0.962,0.962,0.962,0.893,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.909,0.909,0.909,0.962,0.909,0.962,0.909,0.909,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.893,0.909,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.909,0.909,0.909,0.962,0.962,0.962,0.962,0.962,0.962,0.893,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.909,0.909,0.909,0.962,0.909,0.962,0.909,0.909,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962
611,611,0.904,0.904,0.904,0.666,0.834,0.649,0.904,0.904,0.663,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.649,0.858,0.666,0.904,0.904,0.904,0.904,0.649,0.904,0.834,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.649,0.858,0.904,0.857,0.904,0.649,0.677,0.904,0.857,0.857,0.904,0.649,0.649,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.666,0.834,0.649,0.904,0.904,0.663,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.649,0.858,0.666,0.904,0.904,0.904,0.904,0.649,0.904,0.834,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.649,0.858,0.904,0.857,0.904,0.649,0.677,0.904,0.857,0.857,0.904,0.649,0.649,0.904,0.904,0.904,0.904,0.904,0.904,0.904
612,612,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.005,0.001,0.001,0.001,0.001,0.005,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.005,0.001,0.001,0.001,0.001,0.005,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
613,613,0.968,0.968,0.968,0.900,0.968,0.910,0.968,0.968,0.898,0.831,0.968,0.968,0.968,0.968,0.900,0.968,0.968,0.968,0.968,0.968,0.968,0.910,0.914,0.968,0.968,0.900,0.968,0.900,0.914,0.968,0.968,0.968,0.968,0.968,0.968,0.898,0.968,0.968,0.968,0.968,0.968,0.914,0.914,0.968,0.914,0.968,0.968,0.968,0.968,0.914,0.914,0.968,0.968,0.968,0.968,0.968,0.968,0.968,0.968,0.968,0.968,0.968,0.968,0.900,0.968,0.910,0.968,0.968,0.898,0.831,0.968,0.968,0.968,0.968,0.900,0.968,0.968,0.968,0.968,0.968,0.968,0.910,0.914,0.968,0.968,0.900,0.968,0.900,0.914,0.968,0.968,0.968,0.968,0.968,0.968,0.898,0.968,0.968,0.968,0.968,0.968,0.914,0.914,0.968,0.914,0.968,0.968,0.968,0.968,0.914,0.914,0.968,0.968,0.968,0.968,0.968,0.968,0.968,0.968,0.968,0.968
614,614,0.934,0.934,0.934,0.888,0.888,0.888,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.969,0.888,0.888,0.934,0.874,0.934,0.934,0.888,0.934,0.888,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.916,0.888,0.934,0.888,0.934,0.934,0.934,0.934,0.888,0.916,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.888,0.888,0.888,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.969,0.888,0.888,0.934,0.874,0.934,0.934,0.888,0.934,0.888,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.916,0.888,0.934,0.888,0.934,0.934,0.934,0.934,0.888,0.916,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934
615,615,0.996,0.996,0.935,0.996,0.935,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.935,0.996,0.996,0.996,0.996,0.996,0.996,0.935,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.935,0.935,0.996,0.996,0.996,0.935,0.935,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.935,0.996,0.935,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.935,0.996,0.996,0.996,0.996,0.996,0.996,0.935,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.935,0.935,0.996,0.996,0.996,0.935,0.935,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996
616,616,0.882,0.804,0.905,0.909,0.909,0.966,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.698,0.873,0.856,0.851,0.882,0.882,0.882,0.872,0.882,0.851,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.856,0.856,0.882,0.872,0.882,0.882,0.856,0.856,0.872,0.872,0.882,0.856,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.804,0.905,0.909,0.909,0.966,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.698,0.873,0.856,0.851,0.882,0.882,0.882,0.872,0.882,0.851,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.856,0.856,0.882,0.872,0.882,0.882,0.856,0.856,0.872,0.872,0.882,0.856,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882
617,617,0.991,0.991,0.991,0.991,0.991,0.991,0.997,0.991,0.991,0.928,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.928,0.991,0.928,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.997,0.991,0.991,0.928,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.928,0.991,0.928,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991
618,618,0.925,0.925,0.925,0.925,0.925,0.921,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.693,0.925,0.925,0.925,0.925,0.925,0.925,0.921,0.692,0.925,0.925,0.693,0.925,0.692,0.693,0.925,0.925,0.692,0.692,0.692,0.925,0.925,0.925,0.692,0.925,0.925,0.925,0.925,0.925,0.925,0.693,0.925,0.925,0.925,0.925,0.693,0.925,0.693,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.921,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.693,0.925,0.925,0.925,0.925,0.925,0.925,0.921,0.692,0.925,0.925,0.693,0.925,0.692,0.693,0.925,0.925,0.692,0.692,0.692,0.925,0.925,0.925,0.692,0.925,0.925,0.925,0.925,0.925,0.925,0.693,0.925,0.925,0.925,0.925,0.693,0.925,0.693,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925
619,619,0.952,0.952,0.952,0.699,0.699,0.881,0.952,0.952,0.522,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.699,0.952,0.876,0.952,0.952,0.908,0.952,0.699,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.626,0.952,0.952,0.952,0.952,0.908,0.881,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.699,0.699,0.881,0.952,0.952,0.522,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.699,0.952,0.876,0.952,0.952,0.908,0.952,0.699,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.626,0.952,0.952,0.952,0.952,0.908,0.881,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952
620,620,0.980,0.980,0.980,0.980,0.980,0.979,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.979,0.979,0.980,0.980,0.980,0.980,0.980,0.980,0.975,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.975,0.980,0.980,0.980,0.979,0.980,0.980,0.980,0.980,0.980,0.980,0.979,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.979,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.979,0.979,0.980,0.980,0.980,0.980,0.980,0.980,0.975,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.975,0.980,0.980,0.980,0.979,0.980,0.980,0.980,0.980,0.980,0.980,0.979,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980
621,621,0.997,0.997,0.997,0.942,0.997,0.989,0.997,0.997,0.997,0.997,0.997,0.997,0.874,0.997,0.945,0.997,0.997,0.997,0.997,0.997,0.874,0.997,0.997,0.997,0.997,0.945,0.997,0.945,0.945,0.997,0.997,0.945,0.997,0.874,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.945,0.997,0.945,0.945,0.997,0.945,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.945,0.997,0.997,0.997,0.997,0.942,0.997,0.989,0.997,0.997,0.997,0.997,0.997,0.997,0.874,0.997,0.945,0.997,0.997,0.997,0.997,0.997,0.874,0.997,0.997,0.997,0.997,0.945,0.997,0.945,0.945,0.997,0.997,0.945,0.997,0.874,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.945,0.997,0.945,0.945,0.997,0.945,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.945,0.997,0.997
622,622,0.031,0.032,0.031,0.044,0.035,0.438,0.031,0.184,0.031,0.031,0.188,0.031,0.031,0.031,0.045,0.031,0.031,0.031,0.031,0.031,0.031,0.180,0.438,0.179,0.031,0.053,0.031,0.045,0.355,0.086,0.036,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.438,0.438,0.179,0.438,0.053,0.031,0.031,0.394,0.438,0.438,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.032,0.031,0.044,0.035,0.438,0.031,0.184,0.031,0.031,0.188,0.031,0.031,0.031,0.045,0.031,0.031,0.031,0.031,0.031,0.031,0.180,0.438,0.179,0.031,0.053,0.031,0.045,0.355,0.086,0.036,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.438,0.438,0.179,0.438,0.053,0.031,0.031,0.394,0.438,0.438,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031
623,623,0.989,0.989,0.989,0.989,0.989,0.935,0.986,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.875,0.989,0.989,0.875,0.989,0.989,0.836,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.947,0.989,0.989,0.947,0.947,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.947,0.947,0.989,0.989,0.989,0.989,0.989,0.935,0.986,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.875,0.989,0.989,0.875,0.989,0.989,0.836,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.947,0.989,0.989,0.947,0.947,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.947,0.947,0.989
624,624,0.978,0.978,0.978,0.978,0.978,0.955,0.978,0.978,0.881,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.931,0.978,0.978,0.931,0.908,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.931,0.978,0.978,0.931,0.946,0.931,0.931,0.931,0.931,0.978,0.931,0.931,0.978,0.931,0.931,0.978,0.978,0.978,0.978,0.978,0.955,0.978,0.978,0.881,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.931,0.978,0.978,0.931,0.908,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.931,0.978,0.978,0.931,0.946,0.931,0.931,0.931,0.931,0.978,0.931,0.931,0.978,0.931,0.931,0.978
625,625,0.957,0.957,0.634,0.634,0.953,0.880,0.957,0.965,0.957,0.957,0.880,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.953,0.953,0.953,0.957,0.957,0.957,0.957,0.957,0.953,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.953,0.953,0.953,0.957,0.953,0.957,0.953,0.953,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.634,0.634,0.953,0.880,0.957,0.965,0.957,0.957,0.880,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.953,0.953,0.953,0.957,0.957,0.957,0.957,0.957,0.953,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.953,0.953,0.953,0.957,0.953,0.957,0.953,0.953,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957
626,626,0.037,0.036,0.035,0.027,0.041,0.524,0.037,0.340,0.037,0.037,0.347,0.037,0.037,0.037,0.026,0.037,0.037,0.037,0.037,0.037,0.037,0.039,0.255,0.308,0.037,0.077,0.037,0.026,0.438,0.037,0.042,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.242,0.242,0.342,0.280,0.073,0.037,0.037,0.479,0.280,0.536,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.036,0.035,0.027,0.041,0.524,0.037,0.340,0.037,0.037,0.347,0.037,0.037,0.037,0.026,0.037,0.037,0.037,0.037,0.037,0.037,0.039,0.255,0.308,0.037,0.077,0.037,0.026,0.438,0.037,0.042,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.242,0.242,0.342,0.280,0.073,0.037,0.037,0.479,0.280,0.536,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037
627,627,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
628,628,0.996,0.996,0.996,0.919,0.996,0.996,0.996,0.996,0.914,0.996,0.996,0.996,0.724,0.996,0.921,0.996,0.996,0.996,0.996,0.996,0.724,0.996,0.996,0.996,0.996,0.919,0.996,0.917,0.919,0.996,0.996,0.919,0.996,0.724,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.918,0.996,0.918,0.919,0.996,0.918,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.918,0.996,0.996,0.996,0.996,0.919,0.996,0.996,0.996,0.996,0.914,0.996,0.996,0.996,0.724,0.996,0.921,0.996,0.996,0.996,0.996,0.996,0.724,0.996,0.996,0.996,0.996,0.919,0.996,0.917,0.919,0.996,0.996,0.919,0.996,0.724,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.918,0.996,0.918,0.919,0.996,0.918,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.918,0.996,0.996
629,629,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.940,0.997,0.997,0.940,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.940,0.997,0.997,0.940,0.997,0.997,0.940,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.940,0.997,0.997,0.940,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.940,0.997,0.997,0.940,0.997,0.997,0.940,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997
