,id,base,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59
135,135,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.172,0.592,0.592,0.592,0.592,0.592,0.885,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.885,0.592,0.592,0.592,0.592,0.629,0.592,0.016,0.311,0.282,0.592,0.147,0.592,0.592,0.592,0.592,0.592
136,136,0.107,0.364,0.107,0.107,0.364,0.107,0.167,0.107,0.107,0.107,0.364,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.030,0.107,0.364,0.182,0.107,0.030,0.107,0.107,0.107,0.142,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.013,0.013,0.107,0.030,0.030,0.364,0.339,0.107,0.107,0.013,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107
137,137,0.238,0.238,0.238,0.238,0.238,0.572,0.751,0.238,0.238,0.238,0.238,0.086,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.370,0.238,0.238,0.483,0.238,0.431,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.024,0.238,0.238,0.238,0.238,0.238,0.175,0.238,0.238,0.175,0.484,0.238,0.238,0.238,0.509,0.238,0.238,0.102,0.238,0.238,0.238,0.238,0.238,0.238
138,138,0.425,0.086,0.425,0.425,0.425,0.244,0.473,0.086,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.210,0.425,0.168,0.425,0.425,0.225,0.814,0.086,0.425,0.425,0.454,0.407,0.425,0.506,0.425,0.425,0.425,0.425,0.494,0.425,0.425,0.425,0.079,0.334,0.814,0.814,0.425,0.045,0.221,0.425,0.425,0.425,0.514,0.425,0.501,0.425,0.179,0.425,0.425,0.425,0.425,0.425
139,139,0.350,0.350,0.350,0.350,0.350,0.472,0.407,0.350,0.350,0.350,0.350,0.101,0.350,0.350,0.350,0.350,0.350,0.618,0.350,0.215,0.350,0.263,0.350,0.350,0.350,0.350,0.046,0.350,0.350,0.350,0.350,0.335,0.350,0.350,0.350,0.350,0.350,0.090,0.350,0.350,0.350,0.350,0.263,0.350,0.350,0.260,0.062,0.350,0.350,0.350,0.350,0.180,0.324,0.192,0.099,0.310,0.350,0.350,0.104,0.350,0.350
140,140,0.624,0.624,0.624,0.624,0.624,0.624,0.365,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.310,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.316,0.624,0.624,0.624,0.624,0.833,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.316,0.624,0.174,0.316,0.624,0.624,0.137,0.346,0.624
141,141,0.008,0.030,0.008,0.008,0.030,0.029,0.134,0.008,0.008,0.008,0.030,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.006,0.026,0.030,0.009,0.008,0.006,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.012,0.085,0.029,0.006,0.010,0.088,0.069,0.008,0.008,0.059,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008
142,142,0.668,0.668,0.668,0.668,0.668,0.406,0.459,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.705,0.668,0.668,0.668,0.668,0.799,0.939,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.939,0.471,0.668,0.668,0.526,0.668,0.668,0.668,0.668,0.668,0.467,0.668,0.375,0.668,0.668,0.459,0.668,0.668
143,143,0.249,0.249,0.249,0.249,0.249,0.844,0.885,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.342,0.249,0.249,0.311,0.249,0.249,0.249,0.249,0.249,0.249,0.232,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.454,0.249,0.249,0.249,0.249,0.249,0.844,0.307,0.071,0.844,0.249,0.249,0.249,0.249,0.398,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249
144,144,0.061,0.061,0.061,0.061,0.030,0.061,0.061,0.061,0.061,0.061,0.061,0.015,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.205,0.061,0.061,0.061,0.061,0.061,0.061,0.030,0.030,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.015,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.030,0.030,0.061,0.061,0.061,0.061,0.138,0.061,0.061,0.018,0.061,0.061,0.061,0.061,0.061,0.061
145,145,0.167,0.491,0.167,0.167,0.491,0.167,0.195,0.167,0.167,0.167,0.491,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.175,0.167,0.049,0.167,0.491,0.195,0.167,0.049,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.023,0.023,0.167,0.049,0.049,0.491,0.167,0.167,0.167,0.023,0.175,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167
146,146,0.073,0.276,0.073,0.073,0.276,0.035,0.103,0.073,0.073,0.073,0.276,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.014,0.073,0.276,0.182,0.073,0.030,0.073,0.073,0.035,0.035,0.073,0.073,0.073,0.073,0.073,0.073,0.035,0.073,0.073,0.073,0.014,0.014,0.073,0.030,0.030,0.276,0.073,0.073,0.073,0.014,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073
147,147,0.670,0.670,0.670,0.670,0.670,0.670,0.670,0.670,0.670,0.670,0.670,0.787,0.670,0.670,0.670,0.670,0.670,0.670,0.670,0.172,0.670,0.670,0.670,0.670,0.670,0.670,0.670,0.670,0.670,0.670,0.670,0.670,0.670,0.670,0.670,0.670,0.670,0.775,0.670,0.670,0.670,0.670,0.670,0.670,0.670,0.670,0.670,0.670,0.670,0.670,0.670,0.268,0.670,0.670,0.670,0.670,0.670,0.670,0.670,0.787,0.670
148,148,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.513,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.876,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.176,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.933,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922
149,149,0.392,0.392,0.392,0.392,0.392,0.392,0.157,0.392,0.392,0.392,0.392,0.392,0.392,0.392,0.392,0.392,0.392,0.476,0.392,0.287,0.392,0.187,0.392,0.392,0.442,0.392,0.029,0.392,0.392,0.392,0.392,0.392,0.520,0.392,0.392,0.392,0.392,0.392,0.392,0.392,0.392,0.392,0.392,0.392,0.392,0.392,0.392,0.521,0.392,0.392,0.392,0.089,0.520,0.392,0.392,0.520,0.444,0.392,0.392,0.392,0.392
150,150,0.759,0.759,0.027,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.709,0.759,0.024,0.759,0.759,0.759,0.759,0.024,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.097,0.759,0.759,0.040,0.759,0.759,0.759,0.759,0.759,0.759
151,151,0.207,0.207,0.207,0.207,0.207,0.207,0.126,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.500,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.104,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.042,0.207,0.470,0.207,0.207,0.207,0.042,0.207,0.207,0.207,0.207,0.207
152,152,0.082,0.082,0.082,0.082,0.082,0.737,0.669,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.194,0.082,0.082,0.209,0.082,0.082,0.082,0.082,0.082,0.082,0.045,0.082,0.082,0.260,0.082,0.082,0.082,0.082,0.235,0.082,0.082,0.082,0.082,0.082,0.257,0.405,0.082,0.905,0.082,0.082,0.082,0.082,0.446,0.260,0.082,0.082,0.194,0.082,0.082,0.082,0.082,0.082
153,153,0.887,0.887,0.887,0.887,0.887,0.887,0.220,0.887,0.887,0.887,0.887,0.377,0.685,0.887,0.887,0.887,0.887,0.140,0.887,0.483,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.584,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.150,0.887,0.887,0.589,0.887,0.887,0.887,0.887,0.887,0.887
154,154,0.046,0.046,0.046,0.046,0.043,0.046,0.121,0.046,0.046,0.046,0.046,0.013,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.035,0.046,0.046,0.046,0.046,0.046,0.046,0.043,0.043,0.046,0.046,0.046,0.027,0.046,0.046,0.046,0.046,0.046,0.013,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.043,0.043,0.046,0.046,0.046,0.046,0.148,0.117,0.046,0.113,0.051,0.046,0.046,0.046,0.046,0.046
155,155,0.030,0.126,0.030,0.030,0.126,0.018,0.136,0.030,0.030,0.030,0.126,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.108,0.030,0.023,0.030,0.126,0.030,0.030,0.016,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.015,0.010,0.030,0.010,0.015,0.034,0.132,0.030,0.030,0.010,0.108,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030
156,156,0.087,0.053,0.055,0.087,0.053,0.087,0.087,0.087,0.087,0.087,0.053,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.174,0.087,0.079,0.087,0.130,0.087,0.087,0.027,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.073,0.073,0.087,0.031,0.015,0.012,0.087,0.087,0.087,0.055,0.174,0.087,0.087,0.087,0.053,0.087,0.087,0.031,0.087,0.087
157,157,0.011,0.011,0.011,0.011,0.011,0.012,0.056,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.005,0.011,0.079,0.011,0.015,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.016,0.021,0.017,0.011,0.011,0.049,0.094,0.011,0.011,0.011,0.018,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
158,158,0.031,0.224,0.008,0.031,0.224,0.031,0.093,0.031,0.031,0.031,0.224,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.012,0.031,0.224,0.031,0.031,0.011,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.007,0.005,0.031,0.005,0.011,0.006,0.031,0.031,0.031,0.007,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031
159,159,0.861,0.861,0.861,0.861,0.861,0.861,0.718,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.653,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.244,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.459,0.861,0.861,0.861,0.861,0.861,0.459,0.244,0.861,0.861,0.861,0.861,0.861,0.459,0.861
160,160,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.106,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.660,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.791,0.660,0.271,0.271,0.213,0.271,0.271,0.271,0.271,0.271
161,161,0.461,0.461,0.461,0.461,0.461,0.628,0.755,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.168,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.176,0.461,0.461,0.461,0.461,0.461,0.176,0.461,0.461,0.461,0.461,0.461,0.951,0.461,0.461,0.461,0.461,0.461,0.176,0.461,0.461,0.461,0.461,0.176,0.014,0.014,0.461,0.461,0.461,0.461
162,162,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.403,0.283,0.597,0.283,0.283,0.597,0.936,0.283,0.283,0.283,0.283,0.597,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.936,0.936,0.283,0.283,0.287,0.283,0.283,0.283,0.403,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283
163,163,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.811,0.642,0.735,0.735,0.735,0.735,0.735,0.735,0.855,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.678,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735
164,164,0.041,0.200,0.042,0.041,0.200,0.041,0.046,0.041,0.041,0.041,0.200,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.066,0.041,0.009,0.041,0.200,0.112,0.041,0.012,0.041,0.041,0.041,0.053,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.005,0.005,0.041,0.012,0.012,0.200,0.041,0.041,0.041,0.005,0.050,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041
165,165,0.867,0.867,0.867,0.867,0.867,0.819,0.311,0.867,0.867,0.867,0.867,0.625,0.867,0.867,0.867,0.867,0.818,0.909,0.867,0.646,0.867,0.867,0.867,0.867,0.807,0.867,0.867,0.867,0.867,0.867,0.807,0.867,0.901,0.867,0.867,0.867,0.867,0.109,0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.359,0.901,0.867,0.867,0.901,0.867,0.867,0.638,0.867,0.867
166,166,0.055,0.055,0.055,0.055,0.055,0.007,0.276,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.029,0.055,0.055,0.122,0.055,0.029,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.014,0.014,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.120,0.007,0.055,0.055,0.055,0.007,0.055,0.055
167,167,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.581,0.938,0.934,0.934,0.934,0.934,0.934,0.934,0.888,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.581,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.888,0.934,0.934,0.581,0.934,0.934,0.934,0.934,0.934,0.934
168,168,0.139,0.725,0.139,0.139,0.725,0.139,0.344,0.139,0.139,0.139,0.725,0.073,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.321,0.139,0.081,0.139,0.725,0.139,0.139,0.048,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.469,0.139,0.139,0.139,0.725,0.081,0.139,0.139,0.081,0.139,0.523,0.139,0.139,0.081,0.321,0.139,0.139,0.139,0.139,0.013,0.139,0.009,0.139,0.139
169,169,0.051,0.190,0.051,0.051,0.190,0.051,0.051,0.051,0.062,0.051,0.190,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.099,0.051,0.010,0.051,0.190,0.051,0.051,0.065,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.190,0.012,0.051,0.012,0.012,0.051,0.051,0.051,0.051,0.012,0.057,0.051,0.051,0.106,0.051,0.209,0.051,0.051,0.051,0.051
170,170,0.544,0.544,0.122,0.544,0.544,0.561,0.714,0.544,0.544,0.544,0.544,0.128,0.427,0.544,0.544,0.544,0.544,0.544,0.544,0.434,0.544,0.077,0.544,0.544,0.544,0.544,0.544,0.544,0.544,0.544,0.544,0.167,0.544,0.544,0.544,0.544,0.544,0.128,0.544,0.544,0.544,0.132,0.123,0.132,0.544,0.544,0.132,0.077,0.544,0.544,0.077,0.593,0.385,0.544,0.544,0.385,0.544,0.544,0.544,0.544,0.544
171,171,0.358,0.358,0.116,0.358,0.358,0.325,0.467,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.381,0.358,0.178,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.116,0.116,0.358,0.358,0.358,0.358,0.116,0.358,0.358,0.116,0.485,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358
172,172,0.008,0.008,0.008,0.008,0.008,0.012,0.027,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.032,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.006,0.008,0.008,0.008,0.032,0.008,0.008,0.008,0.003,0.008,0.008,0.032,0.023,0.023,0.006,0.008,0.032,0.007,0.008,0.023,0.023,0.008,0.008,0.008,0.010,0.008,0.008,0.008,0.008,0.002,0.008,0.008
173,173,0.674,0.674,0.674,0.674,0.674,0.674,0.135,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.158,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.593,0.907,0.674,0.674,0.555,0.674,0.718,0.674,0.674,0.674,0.674,0.674,0.674,0.837,0.674,0.674,0.674,0.674,0.837,0.674,0.179,0.822,0.674,0.674,0.553,0.674,0.674,0.674,0.674,0.674
174,174,0.006,0.006,0.006,0.006,0.006,0.005,0.041,0.006,0.006,0.006,0.006,0.006,0.030,0.006,0.006,0.006,0.006,0.020,0.006,0.121,0.006,0.006,0.006,0.006,0.014,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.011,0.006,0.006,0.006,0.006,0.005,0.006,0.006,0.006,0.006,0.029,0.006,0.006,0.006,0.023,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
175,175,0.860,0.860,0.860,0.875,0.860,0.860,0.860,0.860,0.860,0.860,0.860,0.875,0.860,0.860,0.860,0.860,0.875,0.860,0.860,0.688,0.860,0.860,0.860,0.860,0.860,0.860,0.860,0.860,0.860,0.860,0.860,0.860,0.688,0.860,0.860,0.860,0.860,0.860,0.860,0.860,0.860,0.860,0.860,0.860,0.860,0.860,0.860,0.860,0.860,0.860,0.860,0.866,0.787,0.860,0.860,0.915,0.860,0.860,0.860,0.860,0.860
176,176,0.025,0.025,0.025,0.025,0.049,0.025,0.076,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.122,0.025,0.042,0.025,0.025,0.048,0.025,0.040,0.049,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.049,0.025,0.025,0.025,0.033,0.033,0.025,0.025,0.025,0.025,0.066,0.025,0.025,0.025,0.230,0.025,0.025,0.021,0.025,0.025
177,177,0.089,0.314,0.089,0.089,0.314,0.089,0.096,0.089,0.089,0.089,0.314,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.022,0.089,0.314,0.568,0.089,0.022,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.010,0.046,0.089,0.022,0.022,0.314,0.089,0.089,0.089,0.046,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089
178,178,0.067,0.067,0.035,0.067,0.067,0.067,0.242,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.354,0.067,0.220,0.067,0.067,0.067,0.175,0.146,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.220,0.175,0.175,0.067,0.107,0.109,0.067,0.067,0.067,0.115,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067
179,179,0.830,0.830,0.830,0.830,0.830,0.830,0.261,0.830,0.830,0.830,0.830,0.830,0.640,0.830,0.830,0.830,0.830,0.830,0.830,0.547,0.830,0.830,0.830,0.830,0.833,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.161,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830
180,180,0.759,0.759,0.759,0.759,0.759,0.759,0.911,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.911,0.759,0.524,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.047,0.759,0.759,0.759,0.712,0.759,0.759,0.759,0.759,0.759
181,181,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.494,0.834,0.932,0.932,0.932,0.932,0.932,0.932,0.867,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.494,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.777,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932
182,182,0.304,0.612,0.127,0.304,0.612,0.304,0.213,0.304,0.304,0.304,0.612,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.144,0.304,0.041,0.304,0.612,0.310,0.304,0.035,0.304,0.304,0.304,0.304,0.304,0.408,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.125,0.125,0.304,0.065,0.065,0.612,0.238,0.304,0.304,0.125,0.407,0.408,0.304,0.304,0.408,0.304,0.304,0.304,0.304,0.304
183,183,0.269,0.269,0.269,0.269,0.269,0.253,0.449,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.263,0.269,0.266,0.269,0.269,0.550,0.950,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.529,0.269,0.269,0.269,0.269,0.269,0.950,0.950,0.269,0.269,0.284,0.269,0.269,0.269,0.263,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269
184,184,0.937,0.937,0.937,0.937,0.937,0.937,0.938,0.937,0.937,0.937,0.937,0.302,0.729,0.937,0.937,0.937,0.937,0.937,0.937,0.599,0.937,0.185,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.351,0.937,0.633,0.937,0.937,0.937,0.937,0.937,0.352,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.069,0.617,0.937,0.937,0.604,0.937,0.937,0.937,0.937,0.937
185,185,0.195,0.195,0.195,0.195,0.195,0.418,0.350,0.195,0.195,0.195,0.195,0.303,0.195,0.415,0.415,0.195,0.335,0.195,0.162,0.270,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.048,0.195,0.115,0.195,0.195,0.195,0.373,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.115,0.195,0.195,0.195,0.162,0.195,0.344,0.195,0.195,0.015,0.195,0.195,0.195,0.063,0.195,0.195
186,186,0.218,0.718,0.134,0.218,0.718,0.218,0.172,0.218,0.218,0.218,0.718,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.155,0.218,0.057,0.218,0.718,0.190,0.218,0.129,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.174,0.063,0.218,0.032,0.030,0.718,0.144,0.218,0.218,0.063,0.218,0.218,0.218,0.218,0.048,0.218,0.218,0.218,0.218,0.218
187,187,0.431,0.431,0.431,0.431,0.431,0.686,0.239,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.544,0.431,0.498,0.431,0.799,0.431,0.431,0.875,0.431,0.431,0.431,0.431,0.799,0.799,0.431,0.431,0.431,0.431,0.431,0.431,0.799,0.431,0.431,0.431,0.431,0.799,0.799,0.431,0.431,0.799,0.921,0.431,0.431,0.431,0.384,0.431,0.431,0.431,0.252,0.431,0.431,0.431,0.431,0.431
188,188,0.978,0.978,0.978,0.978,0.978,0.933,0.913,0.978,0.978,0.978,0.978,0.674,0.811,0.912,0.912,0.978,0.978,0.978,0.978,0.704,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.892,0.978,0.978,0.978,0.978,0.978,0.903,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.927,0.978,0.978,0.601,0.978,0.978,0.978,0.510,0.978,0.978
189,189,0.647,0.647,0.647,0.647,0.647,0.277,0.644,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.468,0.647,0.647,0.596,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.194,0.580,0.647,0.647,0.647,0.647,0.836,0.647,0.647,0.647,0.647,0.733,0.587,0.647,0.647,0.217,0.647,0.300,0.647,0.647,0.598,0.615,0.793,0.708,0.580,0.647,0.647,0.390,0.647,0.647
