,id,base,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31
266,266,0.338,0.362,0.338,0.460,0.338,0.338,0.338,0.338,0.338,0.338,0.338,0.338,0.338,0.572,0.338,0.338,0.338,0.644,0.338,0.338,0.338,0.338,0.338,0.433,0.338,0.338,0.357,0.338,0.338,0.394,0.289,0.338,0.338
267,267,0.235,0.235,0.235,0.647,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.194,0.181,0.371,0.235,0.385,0.235,0.235,0.235,0.235,0.293,0.193,0.235,0.395,0.235,0.138,0.140,0.148,0.184,0.206,0.235
268,268,0.725,0.725,0.725,0.597,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.654,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725
269,269,0.289,0.241,0.289,0.652,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.346,0.616,0.639,0.289,0.660,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.520,0.289,0.639,0.289,0.289,0.289
270,270,0.169,0.187,0.169,0.498,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.226,0.302,0.587,0.169,0.531,0.169,0.169,0.169,0.169,0.169,0.314,0.168,0.321,0.323,0.182,0.178,0.169,0.191,0.317,0.169
271,271,0.219,0.219,0.184,0.637,0.219,0.219,0.219,0.219,0.219,0.219,0.219,0.219,0.219,0.186,0.219,0.435,0.219,0.648,0.219,0.219,0.219,0.219,0.435,0.178,0.219,0.219,0.186,0.192,0.211,0.362,0.178,0.219,0.219
272,272,0.125,0.107,0.125,0.407,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.131,0.178,0.116,0.125,0.481,0.125,0.125,0.125,0.125,0.249,0.126,0.110,0.109,0.126,0.126,0.110,0.123,0.123,0.128,0.125
273,273,0.480,0.388,0.480,0.671,0.480,0.480,0.480,0.480,0.480,0.480,0.480,0.480,0.480,0.624,0.671,0.480,0.480,0.671,0.480,0.480,0.480,0.480,0.671,0.388,0.671,0.480,0.671,0.480,0.480,0.480,0.624,0.671,0.480
274,274,0.533,0.533,0.533,0.593,0.533,0.533,0.533,0.533,0.533,0.533,0.533,0.533,0.533,0.533,0.533,0.666,0.533,0.533,0.533,0.533,0.533,0.533,0.533,0.533,0.533,0.602,0.533,0.533,0.533,0.533,0.533,0.533,0.533
275,275,0.297,0.268,0.297,0.659,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.177,0.378,0.297,0.297,0.659,0.297,0.297,0.297,0.297,0.282,0.181,0.202,0.251,0.241,0.297,0.297,0.297,0.192,0.206,0.297
276,276,0.540,0.540,0.540,0.476,0.540,0.540,0.540,0.540,0.540,0.540,0.540,0.540,0.540,0.540,0.466,0.633,0.540,0.466,0.540,0.540,0.540,0.540,0.540,0.540,0.540,0.436,0.540,0.540,0.540,0.540,0.540,0.540,0.540
277,277,0.648,0.648,0.648,0.656,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.655,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.567,0.648,0.648,0.648
278,278,0.445,0.445,0.445,0.669,0.445,0.445,0.445,0.445,0.445,0.445,0.445,0.445,0.445,0.445,0.595,0.669,0.445,0.669,0.445,0.445,0.445,0.445,0.445,0.445,0.445,0.445,0.445,0.559,0.445,0.669,0.445,0.595,0.445
279,279,0.353,0.330,0.353,0.604,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.545,0.554,0.376,0.353,0.552,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.604,0.353,0.353,0.353,0.353,0.353,0.453,0.353
280,280,0.626,0.626,0.626,0.571,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.659,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626
281,281,0.298,0.361,0.298,0.505,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.361,0.448,0.649,0.298,0.465,0.298,0.298,0.298,0.298,0.298,0.356,0.298,0.537,0.351,0.298,0.298,0.298,0.298,0.353,0.298
282,282,0.668,0.668,0.668,0.570,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.570,0.531,0.668,0.570,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668
283,283,0.763,0.763,0.763,0.763,0.763,0.763,0.763,0.763,0.763,0.763,0.763,0.763,0.763,0.763,0.763,0.609,0.763,0.763,0.763,0.763,0.763,0.763,0.763,0.763,0.763,0.763,0.763,0.763,0.763,0.763,0.763,0.763,0.763
284,284,0.159,0.145,0.159,0.361,0.159,0.159,0.159,0.159,0.159,0.159,0.159,0.159,0.159,0.181,0.238,0.321,0.159,0.464,0.159,0.159,0.159,0.159,0.261,0.264,0.152,0.176,0.184,0.159,0.159,0.159,0.379,0.175,0.159
285,285,0.478,0.457,0.478,0.661,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.658,0.478,0.586,0.478,0.658,0.478,0.478,0.478,0.478,0.478,0.588,0.478,0.478,0.656,0.478,0.478,0.478,0.359,0.478,0.478
286,286,0.134,0.130,0.134,0.551,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.133,0.154,0.216,0.134,0.484,0.134,0.134,0.134,0.134,0.415,0.142,0.134,0.134,0.133,0.134,0.132,0.134,0.127,0.134,0.134
287,287,0.104,0.109,0.104,0.420,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.113,0.361,0.251,0.104,0.633,0.104,0.104,0.104,0.104,0.218,0.127,0.154,0.105,0.103,0.113,0.125,0.105,0.119,0.197,0.104
288,288,0.458,0.314,0.458,0.619,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.662,0.590,0.645,0.458,0.662,0.458,0.458,0.458,0.458,0.458,0.558,0.458,0.458,0.662,0.458,0.458,0.458,0.458,0.458,0.458
289,289,0.740,0.740,0.740,0.740,0.740,0.740,0.740,0.740,0.740,0.740,0.740,0.740,0.740,0.740,0.740,0.740,0.740,0.740,0.740,0.740,0.740,0.740,0.740,0.740,0.740,0.740,0.740,0.740,0.740,0.740,0.740,0.740,0.740
290,290,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798
291,291,0.327,0.327,0.327,0.520,0.327,0.327,0.327,0.327,0.327,0.327,0.327,0.327,0.327,0.327,0.363,0.241,0.327,0.363,0.327,0.327,0.327,0.327,0.327,0.327,0.282,0.212,0.327,0.230,0.327,0.230,0.327,0.276,0.327
292,292,0.123,0.090,0.123,0.472,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.090,0.163,0.300,0.123,0.269,0.123,0.123,0.123,0.123,0.113,0.090,0.118,0.153,0.123,0.109,0.112,0.149,0.123,0.148,0.123
293,293,0.138,0.129,0.138,0.624,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.124,0.207,0.178,0.138,0.432,0.138,0.138,0.138,0.138,0.365,0.119,0.180,0.169,0.110,0.138,0.134,0.138,0.118,0.147,0.138
294,294,0.073,0.073,0.073,0.411,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.111,0.100,0.073,0.294,0.073,0.073,0.073,0.073,0.242,0.075,0.099,0.079,0.073,0.071,0.096,0.079,0.075,0.146,0.073
295,295,0.119,0.102,0.119,0.486,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.283,0.184,0.245,0.119,0.616,0.119,0.119,0.119,0.119,0.181,0.204,0.140,0.119,0.155,0.127,0.172,0.122,0.124,0.119,0.119
296,296,0.260,0.260,0.260,0.546,0.260,0.260,0.260,0.260,0.260,0.260,0.260,0.260,0.260,0.353,0.260,0.420,0.260,0.353,0.260,0.260,0.260,0.260,0.355,0.353,0.260,0.272,0.260,0.260,0.260,0.260,0.355,0.260,0.260
297,297,0.124,0.089,0.098,0.611,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.096,0.426,0.171,0.124,0.613,0.124,0.124,0.124,0.124,0.191,0.092,0.095,0.094,0.096,0.101,0.104,0.092,0.092,0.117,0.124
298,298,0.342,0.342,0.342,0.659,0.342,0.342,0.342,0.342,0.342,0.342,0.342,0.342,0.342,0.206,0.403,0.342,0.342,0.659,0.342,0.342,0.342,0.342,0.391,0.175,0.659,0.342,0.174,0.342,0.172,0.342,0.211,0.188,0.342
299,299,0.238,0.238,0.238,0.570,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.170,0.200,0.218,0.238,0.324,0.238,0.238,0.238,0.238,0.348,0.170,0.149,0.224,0.238,0.238,0.158,0.238,0.173,0.203,0.238
300,300,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.649,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687
301,301,0.239,0.157,0.239,0.657,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.393,0.239,0.327,0.239,0.393,0.239,0.239,0.239,0.239,0.349,0.393,0.239,0.343,0.391,0.239,0.239,0.239,0.349,0.239,0.239
302,302,0.062,0.062,0.062,0.277,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.063,0.103,0.081,0.062,0.288,0.062,0.062,0.062,0.062,0.128,0.086,0.064,0.063,0.064,0.065,0.066,0.082,0.071,0.075,0.062
303,303,0.674,0.674,0.674,0.550,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.608,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674
304,304,0.695,0.695,0.695,0.632,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.670,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695
305,305,0.096,0.103,0.099,0.439,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.113,0.103,0.198,0.096,0.513,0.096,0.096,0.096,0.096,0.106,0.123,0.096,0.096,0.106,0.112,0.096,0.262,0.102,0.096,0.096
306,306,0.175,0.161,0.175,0.585,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.165,0.585,0.161,0.175,0.585,0.175,0.175,0.175,0.175,0.144,0.140,0.214,0.188,0.159,0.175,0.175,0.175,0.159,0.181,0.175
307,307,0.138,0.138,0.135,0.565,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.162,0.165,0.423,0.138,0.611,0.138,0.138,0.138,0.138,0.138,0.161,0.134,0.133,0.168,0.189,0.134,0.611,0.138,0.188,0.138
308,308,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752
309,309,0.510,0.510,0.510,0.510,0.342,0.342,0.342,0.510,0.510,0.510,0.362,0.510,0.510,0.322,0.342,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510
310,310,0.235,0.235,0.235,0.378,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.322,0.162,0.235,0.322,0.235,0.235,0.235,0.235,0.132,0.235,0.121,0.166,0.235,0.235,0.204,0.218,0.235,0.347,0.235
311,311,0.500,0.500,0.500,0.666,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.666,0.500,0.500,0.666,0.500,0.500,0.500,0.500,0.666,0.500,0.434,0.500,0.500,0.500,0.209,0.500,0.500,0.434,0.500
312,312,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.659,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720
313,313,0.166,0.166,0.166,0.339,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.139,0.129,0.195,0.166,0.279,0.166,0.166,0.166,0.166,0.248,0.152,0.166,0.132,0.120,0.166,0.166,0.148,0.259,0.166,0.166
314,314,0.492,0.491,0.492,0.646,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.574,0.492,0.557,0.492,0.575,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.418,0.492,0.492,0.492,0.491,0.492,0.492
315,315,0.444,0.444,0.444,0.532,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.378,0.656,0.444,0.378,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.581,0.444,0.444,0.444,0.292,0.444,0.527,0.444
316,316,0.478,0.522,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.624,0.478,0.671,0.478,0.671,0.478,0.478,0.478,0.478,0.478,0.624,0.478,0.671,0.671,0.478,0.478,0.478,0.478,0.478,0.478
317,317,0.267,0.171,0.267,0.514,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.329,0.444,0.234,0.267,0.455,0.267,0.267,0.267,0.267,0.447,0.443,0.269,0.267,0.443,0.267,0.334,0.267,0.447,0.269,0.267
318,318,0.246,0.246,0.246,0.582,0.246,0.246,0.246,0.246,0.246,0.246,0.246,0.246,0.246,0.246,0.186,0.216,0.246,0.352,0.246,0.246,0.246,0.246,0.246,0.246,0.174,0.204,0.246,0.246,0.246,0.231,0.246,0.157,0.246
319,319,0.138,0.147,0.138,0.504,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.116,0.415,0.143,0.138,0.650,0.138,0.138,0.138,0.138,0.175,0.183,0.191,0.120,0.225,0.147,0.148,0.177,0.136,0.257,0.138
320,320,0.373,0.391,0.373,0.480,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.398,0.373,0.624,0.373,0.398,0.373,0.373,0.373,0.373,0.373,0.330,0.373,0.403,0.398,0.373,0.373,0.373,0.373,0.373,0.373
321,321,0.110,0.121,0.110,0.537,0.110,0.110,0.110,0.110,0.110,0.110,0.110,0.110,0.110,0.103,0.312,0.219,0.110,0.567,0.110,0.110,0.110,0.110,0.126,0.119,0.134,0.129,0.104,0.110,0.123,0.124,0.110,0.123,0.110
322,322,0.158,0.158,0.158,0.614,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.186,0.445,0.225,0.158,0.654,0.158,0.158,0.158,0.158,0.385,0.128,0.200,0.158,0.135,0.173,0.128,0.158,0.132,0.118,0.158
323,323,0.708,0.708,0.708,0.624,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.624,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708
324,324,0.658,0.658,0.658,0.616,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.670,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.616,0.658,0.658,0.658,0.658,0.658,0.658,0.658
325,325,0.622,0.622,0.622,0.670,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.343,0.670,0.622,0.343,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.670,0.622,0.622,0.622,0.622,0.622,0.622,0.622
326,326,0.477,0.521,0.477,0.648,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.623,0.669,0.635,0.477,0.669,0.477,0.477,0.477,0.477,0.477,0.477,0.648,0.477,0.623,0.477,0.477,0.477,0.535,0.635,0.477
327,327,0.192,0.138,0.192,0.389,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.181,0.225,0.147,0.192,0.512,0.192,0.192,0.192,0.192,0.450,0.149,0.165,0.192,0.163,0.176,0.142,0.192,0.168,0.171,0.192
328,328,0.558,0.558,0.558,0.541,0.558,0.558,0.558,0.558,0.558,0.558,0.558,0.558,0.558,0.558,0.558,0.668,0.558,0.544,0.558,0.558,0.558,0.558,0.558,0.558,0.530,0.558,0.558,0.530,0.558,0.544,0.558,0.558,0.558
329,329,0.439,0.404,0.439,0.583,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.530,0.439,0.576,0.439,0.618,0.439,0.439,0.439,0.439,0.439,0.441,0.439,0.439,0.371,0.439,0.439,0.439,0.439,0.439,0.439
330,330,0.161,0.139,0.161,0.505,0.161,0.161,0.161,0.161,0.161,0.161,0.161,0.161,0.161,0.183,0.166,0.311,0.161,0.443,0.161,0.161,0.161,0.161,0.161,0.225,0.217,0.161,0.183,0.175,0.161,0.189,0.219,0.168,0.161
331,331,0.144,0.147,0.144,0.578,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.167,0.226,0.347,0.144,0.363,0.144,0.144,0.144,0.144,0.277,0.282,0.144,0.196,0.144,0.144,0.144,0.144,0.282,0.144,0.144
332,332,0.319,0.319,0.319,0.526,0.319,0.319,0.319,0.319,0.319,0.319,0.319,0.319,0.319,0.526,0.319,0.354,0.319,0.526,0.319,0.319,0.319,0.319,0.544,0.526,0.319,0.319,0.526,0.319,0.319,0.319,0.526,0.319,0.319
333,333,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792
334,334,0.305,0.220,0.305,0.633,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.411,0.297,0.318,0.305,0.640,0.305,0.305,0.305,0.305,0.281,0.435,0.305,0.305,0.301,0.305,0.305,0.318,0.281,0.305,0.305
335,335,0.391,0.449,0.391,0.534,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.435,0.454,0.627,0.391,0.535,0.391,0.391,0.391,0.391,0.391,0.326,0.391,0.391,0.326,0.391,0.391,0.391,0.449,0.391,0.391
336,336,0.224,0.224,0.224,0.578,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.293,0.258,0.368,0.224,0.507,0.224,0.224,0.224,0.224,0.484,0.484,0.224,0.257,0.224,0.224,0.224,0.224,0.484,0.195,0.224
337,337,0.535,0.524,0.535,0.586,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.598,0.535,0.535,0.535,0.598,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.512,0.535,0.535
338,338,0.524,0.524,0.524,0.614,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.578,0.380,0.524,0.578,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.578,0.524,0.524,0.524,0.524,0.524,0.524,0.524
339,339,0.092,0.116,0.092,0.313,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.137,0.217,0.201,0.092,0.409,0.092,0.092,0.092,0.092,0.118,0.105,0.126,0.102,0.090,0.098,0.118,0.093,0.147,0.142,0.092
340,340,0.471,0.480,0.471,0.622,0.471,0.471,0.471,0.471,0.471,0.471,0.471,0.471,0.471,0.578,0.471,0.656,0.471,0.656,0.471,0.471,0.471,0.471,0.471,0.480,0.471,0.471,0.471,0.471,0.471,0.471,0.471,0.471,0.471
341,341,0.804,0.816,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.816,0.804,0.804,0.804,0.816,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804
342,342,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.285,0.375,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.351,0.398,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.341,0.518,0.518,0.518
343,343,0.481,0.478,0.481,0.603,0.481,0.481,0.481,0.481,0.481,0.481,0.481,0.481,0.481,0.610,0.481,0.481,0.481,0.610,0.481,0.481,0.481,0.481,0.481,0.473,0.481,0.481,0.607,0.481,0.481,0.481,0.481,0.481,0.481
344,344,0.803,0.816,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.816,0.803,0.803,0.803,0.816,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803
345,345,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.545,0.808,0.545,0.808,0.808,0.545,0.808,0.808,0.808,0.545,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808
346,346,0.187,0.245,0.187,0.256,0.187,0.187,0.187,0.187,0.187,0.187,0.187,0.187,0.187,0.276,0.260,0.260,0.187,0.618,0.187,0.187,0.187,0.187,0.187,0.202,0.195,0.187,0.421,0.187,0.187,0.235,0.240,0.187,0.187
347,347,0.096,0.084,0.096,0.300,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.209,0.228,0.229,0.096,0.481,0.096,0.096,0.096,0.096,0.194,0.212,0.096,0.101,0.189,0.101,0.146,0.137,0.146,0.137,0.096
348,348,0.548,0.548,0.548,0.454,0.548,0.548,0.548,0.548,0.548,0.548,0.548,0.548,0.548,0.548,0.564,0.665,0.548,0.564,0.548,0.548,0.548,0.548,0.548,0.548,0.548,0.454,0.548,0.548,0.548,0.548,0.548,0.564,0.548
349,349,0.674,0.674,0.674,0.657,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.655,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674
350,350,0.652,0.652,0.652,0.533,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.668,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.537,0.652,0.652,0.652,0.652,0.652,0.652,0.652
351,351,0.256,0.256,0.256,0.438,0.256,0.256,0.256,0.256,0.256,0.256,0.256,0.256,0.256,0.256,0.339,0.227,0.256,0.338,0.256,0.256,0.256,0.256,0.271,0.256,0.272,0.242,0.256,0.272,0.272,0.272,0.256,0.272,0.256
352,352,0.472,0.472,0.472,0.666,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.666,0.472,0.472,0.666,0.472,0.472,0.472,0.472,0.666,0.472,0.429,0.472,0.472,0.472,0.225,0.472,0.472,0.235,0.472
353,353,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784
354,354,0.201,0.201,0.201,0.518,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.151,0.172,0.233,0.201,0.491,0.201,0.201,0.201,0.201,0.367,0.165,0.201,0.201,0.163,0.201,0.201,0.201,0.151,0.172,0.201
355,355,0.603,0.603,0.603,0.606,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.668,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.500,0.603,0.603,0.603,0.603,0.603,0.603,0.603
356,356,0.536,0.536,0.536,0.516,0.536,0.536,0.536,0.536,0.536,0.536,0.536,0.536,0.536,0.536,0.515,0.448,0.536,0.516,0.536,0.536,0.536,0.536,0.536,0.536,0.536,0.536,0.536,0.536,0.536,0.536,0.536,0.536,0.536
357,357,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.655,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705
358,358,0.506,0.506,0.506,0.662,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.503,0.669,0.506,0.503,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.669,0.506,0.506,0.506,0.506,0.506,0.506,0.506
359,359,0.165,0.172,0.165,0.446,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.140,0.255,0.159,0.165,0.526,0.165,0.165,0.165,0.165,0.136,0.157,0.127,0.141,0.165,0.125,0.121,0.117,0.121,0.120,0.165
360,360,0.295,0.202,0.295,0.629,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.321,0.295,0.359,0.295,0.656,0.295,0.295,0.295,0.295,0.393,0.659,0.295,0.295,0.509,0.295,0.295,0.360,0.346,0.295,0.295
361,361,0.817,0.823,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.823,0.817,0.817,0.817,0.823,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817
362,362,0.238,0.238,0.238,0.473,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.235,0.227,0.242,0.238,0.475,0.238,0.238,0.238,0.238,0.475,0.153,0.209,0.238,0.175,0.238,0.173,0.238,0.153,0.186,0.238
363,363,0.814,0.822,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.822,0.814,0.814,0.814,0.822,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814
364,364,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.537,0.670,0.736,0.736,0.736,0.736,0.471,0.736,0.736,0.736,0.450,0.537,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.537,0.736,0.736,0.736
365,365,0.600,0.600,0.600,0.610,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.611,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.611,0.600,0.600,0.600,0.600,0.600,0.600,0.600
366,366,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762
367,367,0.144,0.123,0.144,0.497,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.126,0.180,0.144,0.144,0.327,0.144,0.144,0.144,0.144,0.249,0.139,0.133,0.128,0.102,0.144,0.119,0.144,0.148,0.125,0.144
