,id,base,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36
1296,1296,0.932,0.780,0.669,0.824,0.780,0.932,0.932,0.780,0.932,0.932,0.932,0.988,0.780,0.932,0.932,0.484,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.857,0.932,0.932,0.857,0.932,0.932,0.932,0.845,0.932,0.857
1297,1297,0.609,0.609,0.373,0.609,0.609,0.609,0.827,0.334,0.609,0.239,0.609,0.766,0.334,0.609,0.470,0.339,0.609,0.609,0.609,0.534,0.609,0.766,0.609,0.534,0.609,0.300,0.534,0.609,0.527,0.300,0.609,0.315,0.609,0.437,0.609,0.766,0.766,0.315
1298,1298,0.712,0.377,0.422,0.712,0.377,0.712,0.142,0.424,0.817,0.434,0.712,0.863,0.424,0.305,0.712,0.817,0.712,0.712,0.712,0.712,0.024,0.712,0.712,0.305,0.712,0.743,0.712,0.862,0.778,0.712,0.819,0.135,0.712,0.712,0.712,0.712,0.712,0.135
1299,1299,0.701,0.701,0.682,0.701,0.308,0.701,0.701,0.427,0.701,0.701,0.701,0.701,0.427,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.308,0.701,0.646,0.701,0.701,0.701,0.701,0.701,0.308,0.701,0.701,0.701,0.701,0.308,0.308
1300,1300,0.200,0.163,0.131,0.376,0.163,0.200,0.265,0.193,0.200,0.200,0.200,0.200,0.193,0.200,0.113,0.460,0.200,0.113,0.200,0.173,0.200,0.200,0.200,0.200,0.186,0.221,0.173,0.256,0.550,0.151,0.200,0.177,0.200,0.200,0.186,0.200,0.095,0.177
1301,1301,0.900,0.460,0.935,0.460,0.460,0.900,0.900,0.939,0.900,0.900,0.900,0.900,0.939,0.900,0.900,0.966,0.900,0.900,0.900,0.900,0.900,0.900,0.966,0.900,0.900,0.694,0.900,0.551,0.966,0.900,0.966,0.966,0.900,0.900,0.900,0.694,0.694,0.966
1302,1302,0.006,0.006,0.007,0.006,0.006,0.006,0.006,0.007,0.024,0.011,0.024,0.084,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.002,0.131,0.002,0.006,0.006,0.004,0.006,0.006,0.006,0.006,0.006,0.024,0.003,0.077,0.002,0.146,0.040,0.024
1303,1303,0.492,0.492,0.494,0.492,0.492,0.492,0.492,0.494,0.373,0.314,0.492,0.492,0.494,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.373,0.492,0.492,0.492,0.492,0.649,0.492,0.099,0.492,0.492,0.492,0.154,0.195,0.591,0.154,0.099,0.150,0.154
1304,1304,0.143,0.143,0.151,0.143,0.143,0.143,0.430,0.199,0.143,0.143,0.143,0.143,0.199,0.143,0.143,0.143,0.143,0.143,0.143,0.196,0.143,0.143,0.143,0.143,0.196,0.159,0.196,0.353,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.143
1305,1305,0.258,0.258,0.211,0.258,0.258,0.258,0.258,0.359,0.258,0.023,0.258,0.046,0.359,0.258,0.258,0.258,0.165,0.258,0.258,0.258,0.048,0.258,0.258,0.258,0.258,0.450,0.258,0.334,0.258,0.258,0.258,0.040,0.258,0.258,0.258,0.219,0.023,0.040
1306,1306,0.760,0.753,0.760,0.759,0.736,0.758,0.764,0.768,0.760,0.760,0.760,0.760,0.768,0.760,0.443,0.715,0.760,0.443,0.760,0.443,0.760,0.760,0.684,0.760,0.760,0.640,0.443,0.752,0.412,0.780,0.597,0.741,0.760,0.760,0.580,0.639,0.616,0.741
1307,1307,0.199,0.199,0.142,0.199,0.199,0.199,0.199,0.214,0.155,0.441,0.155,0.199,0.214,0.199,0.199,0.199,0.199,0.199,0.199,0.199,0.502,0.199,0.502,0.199,0.199,0.221,0.199,0.158,0.199,0.056,0.199,0.128,0.618,0.155,0.242,0.207,0.199,0.128
1308,1308,0.684,0.360,0.672,0.610,0.360,0.684,0.684,0.888,0.684,0.684,0.684,0.684,0.888,0.684,0.360,0.684,0.684,0.360,0.684,0.360,0.684,0.684,0.684,0.684,0.684,0.672,0.360,0.268,0.684,0.716,0.684,0.716,0.684,0.684,0.684,0.684,0.684,0.716
1309,1309,0.616,0.616,0.603,0.616,0.616,0.616,0.616,0.602,0.616,0.616,0.616,0.616,0.602,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.021,0.616,0.616,0.616,0.616,0.776,0.616,0.616,0.852,0.616,0.077,0.077,0.616,0.616,0.616,0.222,0.616,0.077
1310,1310,0.222,0.222,0.925,0.222,0.222,0.222,0.098,0.942,0.222,0.222,0.222,0.222,0.942,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.112,0.222,0.222,0.222,0.222,0.222,0.222,0.112,0.112,0.222,0.222,0.222,0.222,0.222,0.112
1311,1311,0.442,0.172,0.457,0.442,0.172,0.442,0.395,0.498,0.442,0.442,0.442,0.442,0.498,0.442,0.151,0.678,0.700,0.151,0.442,0.212,0.442,0.442,0.442,0.442,0.305,0.485,0.212,0.442,0.742,0.244,0.442,0.653,0.442,0.442,0.442,0.297,0.262,0.653
1312,1312,0.133,0.133,0.051,0.133,0.133,0.133,0.133,0.213,0.376,0.301,0.295,0.133,0.213,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.295,0.133,0.295,0.133,0.133,0.388,0.133,0.468,0.133,0.133,0.133,0.295,0.047,0.064,0.295,0.064,0.133,0.295
1313,1313,0.192,0.062,0.544,0.192,0.062,0.192,0.192,0.650,0.192,0.192,0.192,0.984,0.650,0.192,0.052,0.192,0.192,0.052,0.192,0.052,0.192,0.192,0.192,0.192,0.192,0.192,0.052,0.528,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192
1314,1314,0.095,0.066,0.119,0.095,0.066,0.095,0.095,0.110,0.067,0.127,0.067,0.095,0.110,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.343,0.095,0.095,0.095,0.095,0.146,0.095,0.198,0.095,0.066,0.095,0.047,0.042,0.095,0.047,0.147,0.498,0.047
1315,1315,0.021,0.031,0.164,0.031,0.031,0.021,0.021,0.048,0.021,0.011,0.021,0.129,0.048,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.020,0.313,0.021,0.021,0.021,0.112,0.021,0.070,0.021,0.021,0.021,0.021,0.020,0.426,0.021,0.313,0.426,0.021
1316,1316,0.877,0.877,0.880,0.877,0.877,0.966,0.971,0.888,0.877,0.877,0.877,0.992,0.888,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.992,0.877,0.877,0.877,0.877,0.877,0.420,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.426,0.877,0.877
1317,1317,0.119,0.119,0.069,0.119,0.119,0.119,0.083,0.148,0.119,0.179,0.119,0.119,0.148,0.119,0.119,0.124,0.119,0.119,0.119,0.197,0.119,0.119,0.119,0.119,0.197,0.116,0.197,0.323,0.124,0.119,0.119,0.124,0.128,0.119,0.145,0.082,0.119,0.124
1318,1318,0.976,0.913,0.972,0.976,0.913,0.976,0.985,0.957,0.976,0.976,0.976,0.976,0.957,0.976,0.922,0.977,0.976,0.913,0.976,0.922,0.976,0.976,0.976,0.976,0.976,0.976,0.922,0.972,0.979,0.976,0.909,0.979,0.976,0.976,0.976,0.988,0.976,0.979
1319,1319,0.159,0.159,0.754,0.159,0.159,0.159,0.204,0.217,0.007,0.159,0.007,0.159,0.217,0.159,0.159,0.159,0.159,0.159,0.045,0.045,0.045,0.159,0.045,0.204,0.159,0.159,0.045,0.159,0.159,0.159,0.159,0.052,0.159,0.159,0.159,0.052,0.159,0.052
1320,1320,0.254,0.503,0.243,0.382,0.088,0.254,0.461,0.191,0.254,0.254,0.254,0.254,0.191,0.254,0.074,0.348,0.254,0.074,0.254,0.096,0.254,0.254,0.254,0.254,0.255,0.242,0.096,0.517,0.429,0.267,0.254,0.429,0.254,0.254,0.254,0.525,0.167,0.429
1321,1321,0.138,0.138,0.087,0.138,0.019,0.138,0.019,0.109,0.138,0.369,0.138,0.268,0.109,0.019,0.138,0.138,0.138,0.138,0.138,0.019,0.138,0.857,0.138,0.019,0.138,0.477,0.019,0.138,0.138,0.138,0.138,0.138,0.138,0.857,0.138,0.857,0.857,0.138
1322,1322,0.985,0.897,0.985,0.985,0.897,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.969,0.974,0.985,0.897,0.985,0.969,0.985,0.985,0.985,0.985,0.985,0.985,0.969,0.985,0.969,0.985,0.897,0.969,0.985,0.985,0.985,0.985,0.985,0.969
1323,1323,0.321,0.099,0.256,0.101,0.099,0.321,0.298,0.347,0.321,0.319,0.321,0.644,0.347,0.321,0.088,0.310,0.321,0.157,0.321,0.277,0.321,0.644,0.321,0.321,0.172,0.367,0.277,0.605,0.284,0.185,0.321,0.284,0.257,0.201,0.250,0.644,0.193,0.284
1324,1324,0.946,0.978,0.946,0.978,0.978,0.947,0.947,0.947,0.946,0.946,0.946,0.946,0.947,0.946,0.946,0.785,0.946,0.946,0.946,0.946,0.946,0.946,0.924,0.946,0.946,0.956,0.946,0.979,0.785,0.946,0.785,0.785,0.946,0.946,0.946,0.981,0.946,0.785
1325,1325,0.901,0.947,0.716,0.947,0.947,0.901,0.901,0.856,0.901,0.901,0.901,0.437,0.856,0.901,0.901,0.903,0.901,0.901,0.901,0.901,0.901,0.437,0.901,0.901,0.901,0.901,0.901,0.507,0.902,0.901,0.902,0.902,0.901,0.901,0.901,0.976,0.901,0.902
1326,1326,0.945,0.473,0.609,0.983,0.473,0.945,0.945,0.751,0.945,0.945,0.945,0.945,0.751,0.945,0.165,0.945,0.945,0.165,0.945,0.165,0.945,0.945,0.945,0.945,0.945,0.945,0.165,0.968,0.165,0.165,0.945,0.165,0.945,0.945,0.945,0.945,0.165,0.165
1327,1327,0.941,0.962,0.660,0.962,0.962,0.941,0.941,0.868,0.941,0.941,0.941,0.980,0.868,0.941,0.941,0.763,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.393,0.763,0.941,0.763,0.763,0.941,0.941,0.941,0.497,0.941,0.763
1328,1328,0.078,0.078,0.084,0.078,0.078,0.078,0.078,0.084,0.078,0.078,0.078,0.078,0.084,0.078,0.078,0.078,0.078,0.078,0.078,0.083,0.078,0.078,0.078,0.078,0.083,0.059,0.083,0.078,0.078,0.078,0.078,0.083,0.126,0.066,0.083,0.078,0.078,0.083
1329,1329,0.792,0.621,0.926,0.621,0.621,0.792,0.925,0.867,0.792,0.792,0.792,0.792,0.867,0.792,0.792,0.893,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.784,0.893,0.792,0.893,0.893,0.792,0.792,0.792,0.792,0.792,0.893
1330,1330,0.289,0.103,0.264,0.289,0.103,0.289,0.289,0.261,0.289,0.289,0.289,0.289,0.261,0.289,0.103,0.289,0.289,0.103,0.289,0.097,0.289,0.289,0.289,0.289,0.318,0.111,0.097,0.289,0.289,0.096,0.289,0.357,0.318,0.111,0.318,0.289,0.239,0.357
1331,1331,0.118,0.118,0.115,0.118,0.118,0.118,0.118,0.115,0.118,0.118,0.118,0.118,0.115,0.118,0.118,0.118,0.118,0.118,0.118,0.142,0.118,0.118,0.118,0.118,0.142,0.090,0.142,0.394,0.118,0.118,0.118,0.154,0.092,0.098,0.154,0.118,0.118,0.154
1332,1332,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.970,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.965,0.982,0.986,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.970,0.982,0.982
1333,1333,0.432,0.432,0.593,0.129,0.432,0.432,0.432,0.373,0.432,0.432,0.432,0.432,0.373,0.432,0.432,0.432,0.432,0.432,0.432,0.129,0.053,0.432,0.432,0.432,0.432,0.121,0.129,0.432,0.432,0.432,0.432,0.129,0.432,0.863,0.432,0.506,0.432,0.129
1334,1334,0.935,0.935,0.519,0.935,0.935,0.935,0.935,0.519,0.935,0.935,0.935,0.935,0.519,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.737,0.935,0.708,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935
1335,1335,0.364,0.364,0.325,0.364,0.364,0.364,0.771,0.402,0.148,0.364,0.364,0.840,0.402,0.364,0.364,0.364,0.880,0.364,0.364,0.364,0.364,0.198,0.364,0.364,0.364,0.407,0.364,0.700,0.364,0.364,0.364,0.046,0.364,0.364,0.768,0.178,0.060,0.046
1336,1336,0.338,0.187,0.371,0.295,0.187,0.338,0.814,0.398,0.098,0.338,0.338,0.338,0.398,0.338,0.158,0.338,0.338,0.158,0.338,0.158,0.098,0.338,0.338,0.338,0.338,0.456,0.158,0.443,0.338,0.338,0.338,0.098,0.098,0.338,0.098,0.472,0.338,0.098
1337,1337,0.897,0.320,0.883,0.897,0.320,0.897,0.911,0.920,0.897,0.897,0.897,0.897,0.920,0.897,0.296,0.911,0.897,0.695,0.897,0.296,0.897,0.897,0.897,0.897,0.897,0.897,0.296,0.897,0.381,0.695,0.897,0.381,0.897,0.695,0.897,0.868,0.897,0.381
1338,1338,0.097,0.097,0.149,0.097,0.097,0.097,0.097,0.166,0.303,0.097,0.097,0.760,0.166,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.149,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.106,0.152,0.569,0.046,0.097,0.097,0.097,0.025,0.016,0.046
1339,1339,0.525,0.549,0.515,0.724,0.549,0.525,0.525,0.386,0.525,0.595,0.525,0.677,0.386,0.525,0.525,0.525,0.238,0.525,0.525,0.525,0.525,0.087,0.525,0.525,0.525,0.434,0.525,0.525,0.683,0.141,0.683,0.683,0.525,0.525,0.525,0.686,0.141,0.683
1340,1340,0.653,0.285,0.258,0.653,0.285,0.653,0.112,0.836,0.653,0.653,0.653,0.716,0.836,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.789,0.653,0.894,0.653,0.358,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.653
1341,1341,0.951,0.355,0.950,0.951,0.452,0.951,0.183,0.954,0.951,0.951,0.951,0.951,0.954,0.119,0.355,0.955,0.951,0.677,0.951,0.612,0.951,0.951,0.951,0.119,0.951,0.951,0.612,0.951,0.945,0.906,0.951,0.945,0.906,0.677,0.951,0.951,0.951,0.945
1342,1342,0.925,0.326,0.928,0.925,0.326,0.925,0.957,0.311,0.925,0.925,0.925,0.925,0.311,0.925,0.326,0.933,0.925,0.384,0.925,0.253,0.925,0.925,0.925,0.728,0.925,0.900,0.253,0.946,0.333,0.728,0.925,0.333,0.925,0.580,0.925,0.728,0.925,0.333
1343,1343,0.047,0.038,0.051,0.047,0.038,0.047,0.047,0.038,0.047,0.027,0.047,0.038,0.038,0.047,0.044,0.047,0.047,0.044,0.047,0.078,0.007,0.047,0.047,0.047,0.058,0.230,0.078,0.007,0.047,0.057,0.047,0.090,0.232,0.047,0.047,0.049,0.034,0.090
1344,1344,0.925,0.925,0.423,0.925,0.178,0.925,0.020,0.882,0.925,0.925,0.925,0.925,0.882,0.020,0.925,0.925,0.925,0.925,0.925,0.020,0.925,0.925,0.925,0.020,0.925,0.925,0.020,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925
1345,1345,0.809,0.024,0.832,0.833,0.024,0.809,0.809,0.824,0.809,0.809,0.809,0.809,0.824,0.809,0.336,0.809,0.809,0.336,0.809,0.336,0.809,0.809,0.809,0.809,0.809,0.809,0.336,0.967,0.809,0.336,0.809,0.336,0.809,0.809,0.809,0.809,0.809,0.336
1346,1346,0.977,0.848,0.992,0.977,0.848,0.977,0.835,0.960,0.977,0.977,0.977,0.977,0.960,0.977,0.953,0.853,0.977,0.848,0.977,0.953,0.977,0.977,0.977,0.977,0.977,0.977,0.953,0.914,0.796,0.977,0.848,0.796,0.977,0.977,0.977,0.977,0.977,0.796
1347,1347,0.105,0.115,0.105,0.086,0.115,0.105,0.105,0.093,0.106,0.104,0.105,0.105,0.093,0.105,0.106,0.105,0.105,0.106,0.105,0.106,0.098,0.105,0.105,0.105,0.114,0.105,0.106,0.105,0.112,0.120,0.105,0.100,0.104,0.105,0.107,0.105,0.105,0.100
1348,1348,0.015,0.015,0.015,0.015,0.015,0.015,0.050,0.017,0.015,0.015,0.015,0.015,0.017,0.015,0.015,0.015,0.015,0.015,0.015,0.024,0.015,0.015,0.015,0.050,0.019,0.020,0.024,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0.016,0.015,0.015,0.016
1349,1349,0.293,0.116,0.482,0.293,0.116,0.293,0.319,0.209,0.293,0.293,0.293,0.293,0.209,0.293,0.156,0.521,0.293,0.156,0.293,0.391,0.293,0.293,0.293,0.293,0.197,0.256,0.391,0.293,0.535,0.185,0.293,0.535,0.293,0.293,0.293,0.188,0.186,0.535
1350,1350,0.133,0.133,0.116,0.133,0.133,0.133,0.138,0.396,0.040,0.133,0.040,0.133,0.396,0.133,0.133,0.074,0.133,0.133,0.071,0.071,0.071,0.133,0.071,0.133,0.133,0.133,0.071,0.143,0.133,0.133,0.133,0.071,0.071,0.071,0.071,0.133,0.133,0.071
1351,1351,0.150,0.104,0.154,0.150,0.104,0.150,0.150,0.161,0.438,0.745,0.438,0.150,0.161,0.150,0.033,0.150,0.150,0.033,0.150,0.033,0.065,0.150,0.438,0.150,0.150,0.092,0.033,0.150,0.150,0.104,0.150,0.438,0.438,0.438,0.065,0.437,0.150,0.438
1352,1352,0.016,0.008,0.015,0.016,0.008,0.016,0.016,0.012,0.020,0.015,0.020,0.016,0.012,0.016,0.007,0.016,0.016,0.007,0.016,0.005,0.022,0.016,0.026,0.016,0.011,0.009,0.005,0.016,0.007,0.007,0.016,0.016,0.013,0.022,0.022,0.022,0.007,0.016
1353,1353,0.107,0.107,0.535,0.107,0.107,0.107,0.107,0.076,0.035,0.088,0.195,0.107,0.076,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.651,0.107,0.195,0.107,0.107,0.107,0.107,0.217,0.107,0.107,0.107,0.035,0.195,0.651,0.107,0.107,0.107,0.035
1354,1354,0.025,0.025,0.032,0.025,0.025,0.025,0.025,0.032,0.025,0.032,0.025,0.025,0.032,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.069,0.025,0.025,0.025,0.025,0.027,0.025,0.150,0.025,0.007,0.025,0.025,0.408,0.025,0.025,0.098,0.025,0.025
1355,1355,0.510,0.973,0.506,0.892,0.892,0.510,0.420,0.867,0.510,0.510,0.510,0.510,0.867,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.890,0.510,0.494,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.730,0.510,0.510
1356,1356,0.766,0.243,0.939,0.971,0.243,0.766,0.971,0.907,0.121,0.594,0.766,0.766,0.907,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.047,0.766,0.766,0.766,0.766,0.842,0.766,0.524,0.766,0.766,0.766,0.075,0.766,0.766,0.766,0.338,0.766,0.075
1357,1357,0.549,0.653,0.541,0.556,0.653,0.549,0.784,0.617,0.549,0.549,0.549,0.928,0.617,0.549,0.549,0.280,0.549,0.549,0.549,0.549,0.549,0.766,0.649,0.549,0.549,0.656,0.549,0.453,0.949,0.596,0.644,0.949,0.549,0.549,0.549,0.492,0.105,0.949
1358,1358,0.734,0.734,0.768,0.734,0.043,0.438,0.768,0.768,0.734,0.734,0.734,0.734,0.768,0.074,0.822,0.663,0.734,0.822,0.734,0.187,0.734,0.734,0.734,0.074,0.734,0.734,0.187,0.734,0.663,0.734,0.734,0.663,0.734,0.734,0.734,0.734,0.734,0.663
1359,1359,0.257,0.257,0.291,0.117,0.257,0.257,0.332,0.182,0.257,0.257,0.257,0.257,0.182,0.257,0.257,0.257,0.257,0.257,0.257,0.111,0.257,0.257,0.257,0.332,0.257,0.257,0.111,0.291,0.257,0.257,0.257,0.111,0.111,0.431,0.111,0.250,0.257,0.111
1360,1360,0.362,0.095,0.314,0.493,0.097,0.362,0.493,0.237,0.362,0.362,0.362,0.915,0.237,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.493,0.362,0.194,0.362,0.792,0.362,0.362,0.044,0.044,0.362,0.362,0.362,0.362,0.362,0.044
1361,1361,0.019,0.019,0.055,0.038,0.019,0.019,0.038,0.055,0.019,0.130,0.019,0.153,0.055,0.019,0.019,0.019,0.019,0.019,0.019,0.030,0.019,0.386,0.019,0.019,0.030,0.134,0.030,0.019,0.019,0.019,0.019,0.019,0.019,0.153,0.019,0.386,0.386,0.019
1362,1362,0.240,0.240,0.107,0.240,0.240,0.240,0.240,0.039,0.240,0.240,0.240,0.240,0.039,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.049,0.240,0.240,0.240,0.240,0.210,0.240,0.521,0.240,0.240,0.240,0.240,0.240,0.412,0.240,0.357,0.240,0.240
1363,1363,0.528,0.589,0.537,0.528,0.890,0.755,0.749,0.274,0.528,0.528,0.528,0.528,0.274,0.528,0.528,0.571,0.528,0.528,0.528,0.528,0.528,0.528,0.528,0.528,0.528,0.421,0.528,0.744,0.575,0.177,0.528,0.600,0.528,0.407,0.528,0.264,0.528,0.600
1364,1364,0.892,0.452,0.893,0.939,0.452,0.892,0.808,0.906,0.892,0.892,0.892,0.892,0.906,0.892,0.338,0.903,0.892,0.412,0.892,0.669,0.892,0.892,0.892,0.892,0.685,0.892,0.669,0.904,0.909,0.886,0.888,0.909,0.892,0.892,0.892,0.892,0.476,0.909
1365,1365,0.016,0.016,0.022,0.016,0.016,0.016,0.016,0.022,0.043,0.035,0.043,0.180,0.022,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.122,0.069,0.018,0.016,0.016,0.021,0.016,0.030,0.016,0.016,0.016,0.018,0.024,0.592,0.122,0.078,0.069,0.018
1366,1366,0.930,0.984,0.971,0.984,0.984,0.930,0.930,0.951,0.930,0.930,0.930,0.930,0.951,0.930,0.930,0.872,0.930,0.930,0.930,0.930,0.930,0.930,0.930,0.930,0.930,0.930,0.930,0.951,0.872,0.930,0.872,0.872,0.930,0.930,0.930,0.952,0.930,0.872
1367,1367,0.421,0.401,0.432,0.303,0.401,0.415,0.443,0.409,0.421,0.173,0.421,0.436,0.409,0.421,0.313,0.421,0.421,0.313,0.421,0.313,0.421,0.421,0.421,0.421,0.421,0.769,0.313,0.868,0.421,0.237,0.421,0.243,0.421,0.421,0.421,0.610,0.231,0.243
1368,1368,0.115,0.046,0.394,0.131,0.046,0.115,0.115,0.126,0.068,0.115,0.068,0.115,0.126,0.115,0.035,0.115,0.115,0.035,0.115,0.035,0.068,0.115,0.068,0.115,0.115,0.479,0.035,0.148,0.115,0.113,0.115,0.646,0.646,0.068,0.115,0.115,0.118,0.646
1369,1369,0.689,0.616,0.599,0.616,0.616,0.689,0.438,0.395,0.689,0.697,0.689,0.867,0.395,0.689,0.132,0.623,0.236,0.132,0.689,0.577,0.689,0.689,0.623,0.689,0.689,0.754,0.577,0.594,0.604,0.689,0.604,0.604,0.689,0.689,0.689,0.825,0.142,0.604
1370,1370,0.965,0.965,0.965,0.965,0.965,0.964,0.991,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.963,0.965,0.686,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965
1371,1371,0.409,0.409,0.037,0.409,0.409,0.409,0.191,0.122,0.409,0.409,0.409,0.409,0.122,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.191,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.151,0.409,0.409,0.409,0.409,0.409,0.151
1372,1372,0.137,0.023,0.549,0.222,0.023,0.137,0.530,0.332,0.137,0.137,0.137,0.153,0.332,0.137,0.023,0.137,0.137,0.023,0.137,0.056,0.137,0.137,0.137,0.137,0.137,0.137,0.056,0.712,0.137,0.034,0.137,0.059,0.137,0.169,0.219,0.063,0.063,0.059
1373,1373,0.473,0.543,0.314,0.543,0.543,0.473,0.473,0.580,0.766,0.122,0.473,0.673,0.580,0.473,0.473,0.614,0.473,0.473,0.473,0.473,0.522,0.673,0.326,0.473,0.473,0.473,0.473,0.411,0.386,0.542,0.660,0.454,0.473,0.473,0.473,0.782,0.430,0.454
1374,1374,0.131,0.016,0.161,0.131,0.016,0.131,0.114,0.053,0.358,0.154,0.358,0.162,0.053,0.131,0.016,0.114,0.131,0.016,0.131,0.016,0.034,0.162,0.034,0.131,0.131,0.119,0.016,0.131,0.038,0.061,0.131,0.007,0.047,0.840,0.034,0.395,0.162,0.007
1375,1375,0.081,0.081,0.077,0.081,0.081,0.081,0.081,0.077,0.152,0.046,0.152,0.081,0.077,0.081,0.081,0.081,0.081,0.081,0.081,0.265,0.094,0.081,0.152,0.081,0.081,0.051,0.265,0.017,0.081,0.081,0.081,0.380,0.038,0.058,0.058,0.094,0.081,0.380
1376,1376,0.234,0.109,0.237,0.234,0.109,0.234,0.101,0.240,0.349,0.288,0.234,0.477,0.240,0.234,0.084,0.155,0.234,0.110,0.234,0.152,0.316,0.525,0.234,0.225,0.234,0.236,0.152,0.234,0.158,0.137,0.234,0.152,0.257,0.384,0.349,0.367,0.525,0.152
1377,1377,0.970,0.970,0.987,0.970,0.173,0.970,0.630,0.757,0.970,0.970,0.970,0.970,0.757,0.024,0.970,0.619,0.970,0.970,0.970,0.018,0.970,0.970,0.970,0.024,0.970,0.970,0.018,0.970,0.619,0.970,0.970,0.621,0.970,0.970,0.970,0.970,0.970,0.621
1378,1378,0.971,0.388,0.895,0.917,0.388,0.971,0.972,0.922,0.971,0.971,0.971,0.971,0.922,0.971,0.823,0.982,0.971,0.794,0.971,0.823,0.971,0.971,0.971,0.971,0.971,0.877,0.823,0.975,0.796,0.635,0.807,0.796,0.971,0.794,0.971,0.435,0.971,0.796
1379,1379,0.044,0.054,0.049,0.044,0.054,0.044,0.045,0.056,0.027,0.044,0.027,0.123,0.056,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.027,0.044,0.027,0.044,0.044,0.173,0.044,0.043,0.044,0.044,0.044,0.403,0.403,0.403,0.044,0.068,0.089,0.403
1380,1380,0.042,0.105,0.052,0.105,0.130,0.042,0.042,0.120,0.021,0.033,0.021,0.042,0.120,0.042,0.042,0.042,0.042,0.042,0.042,0.020,0.041,0.042,0.021,0.020,0.042,0.026,0.020,0.063,0.042,0.037,0.042,0.088,0.041,0.041,0.021,0.088,0.037,0.088
1381,1381,0.081,0.081,0.019,0.081,0.081,0.081,0.081,0.019,0.244,0.058,0.244,0.081,0.019,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.477,0.081,0.244,0.081,0.081,0.064,0.081,0.271,0.081,0.081,0.081,0.246,0.027,0.246,0.477,0.477,0.081,0.246
1382,1382,0.928,0.298,0.932,0.747,0.298,0.928,0.540,0.714,0.928,0.895,0.928,0.573,0.714,0.928,0.461,0.864,0.928,0.584,0.928,0.461,0.928,0.928,0.928,0.928,0.928,0.944,0.461,0.878,0.461,0.928,0.298,0.461,0.928,0.928,0.928,0.928,0.928,0.461
