,id,base,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42
1310,1310,0.222,0.222,0.110,0.222,0.091,0.984,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.110,0.222,0.222,0.222,0.222,0.222,0.110,0.222,0.222,0.222,0.110,0.222,0.222,0.222,0.091,0.222,0.222
1311,1311,0.442,0.154,0.442,0.154,0.813,0.709,0.442,0.442,0.442,0.442,0.442,0.839,0.442,0.156,0.200,0.442,0.156,0.442,0.156,0.442,0.442,0.442,0.442,0.276,0.442,0.564,0.442,0.442,0.355,0.442,0.325,0.276,0.355,0.126,0.753,0.310,0.310,0.442,0.442,0.191,0.191,0.272,0.699,0.494
1312,1312,0.133,0.133,0.133,0.133,0.432,0.047,0.133,0.030,0.295,0.030,0.016,0.432,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.039,0.018,0.133,0.347,0.133,0.695,0.048,0.073,0.133,0.159,0.038,0.024,0.021,0.347,0.018,0.347,0.133,0.347,0.008,0.081,0.272
1313,1313,0.192,0.079,0.192,0.250,0.250,0.047,0.192,0.192,0.192,0.192,0.959,0.192,0.192,0.254,0.192,0.192,0.254,0.192,0.254,0.192,0.192,0.192,0.192,0.212,0.192,0.192,0.192,0.192,0.192,0.192,0.062,0.192,0.192,0.192,0.089,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.084,0.192
1314,1314,0.095,0.024,0.095,0.024,0.080,0.049,0.095,0.419,0.212,0.419,0.095,0.231,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.027,0.035,0.095,0.095,0.095,0.076,0.035,0.027,0.024,0.289,0.095,0.025,0.095,0.095,0.419,0.419,0.095,0.019,0.095,0.218,0.110
1315,1315,0.021,0.038,0.021,0.038,0.092,0.058,0.021,0.021,0.065,0.021,0.363,0.092,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.058,0.006,0.363,0.021,0.021,0.118,0.006,0.058,0.005,0.261,0.021,0.090,0.310,0.363,0.021,0.363,0.358,0.011,0.119,0.059,0.021
1316,1316,0.877,0.877,0.839,0.877,0.604,0.470,0.877,0.877,0.877,0.877,0.993,0.839,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.993,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.417,0.877,0.877,0.877,0.877,0.417,0.877,0.417
1317,1317,0.119,0.233,0.119,0.119,0.096,0.052,0.119,0.119,0.095,0.119,0.119,0.128,0.119,0.119,0.224,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.402,0.119,0.119,0.119,0.119,0.284,0.119,0.048,0.427,0.430,0.224,0.520,0.221,0.119,0.151,0.179,0.119,0.278,0.228,0.019,0.307
1318,1318,0.976,0.263,0.976,0.765,0.318,0.231,0.976,0.976,0.976,0.976,0.976,0.573,0.976,0.985,0.996,0.981,0.926,0.976,0.926,0.976,0.981,0.976,0.976,0.976,0.976,0.976,0.976,0.976,0.976,0.976,0.573,0.976,0.976,0.985,0.976,0.976,0.976,0.976,0.976,0.976,0.976,0.926,0.310,0.976
1319,1319,0.159,0.159,0.110,0.159,0.187,0.085,0.159,0.124,0.159,0.124,0.159,0.159,0.159,0.124,0.159,0.159,0.159,0.159,0.159,0.159,0.159,0.124,0.159,0.008,0.124,0.159,0.124,0.110,0.159,0.159,0.124,0.159,0.159,0.124,0.023,0.159,0.159,0.121,0.159,0.159,0.159,0.455,0.023,0.159
1320,1320,0.254,0.361,0.254,0.361,0.796,0.698,0.254,0.254,0.254,0.254,0.254,0.829,0.254,0.106,0.254,0.254,0.106,0.254,0.106,0.254,0.254,0.254,0.254,0.180,0.254,0.254,0.254,0.254,0.192,0.254,0.204,0.180,0.192,0.166,0.147,0.204,0.454,0.254,0.254,0.327,0.188,0.276,0.030,0.384
1321,1321,0.138,0.138,0.013,0.138,0.110,0.424,0.138,0.138,0.385,0.138,0.930,0.110,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.017,0.138,0.138,0.138,0.377,0.138,0.930,0.138,0.017,0.676,0.138,0.377,0.223,0.676,0.138,0.930,0.138,0.284,0.138,0.930,0.930,0.138,0.284,0.217,0.121
1322,1322,0.985,0.579,0.985,0.579,0.802,0.706,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.968,0.996,0.953,0.682,0.985,0.682,0.985,0.953,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.845,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.682,0.682,0.985
1323,1323,0.321,0.076,0.321,0.076,0.096,0.060,0.321,0.321,0.102,0.321,0.608,0.194,0.321,0.069,0.455,0.307,0.078,0.321,0.078,0.321,0.307,0.321,0.321,0.170,0.321,0.608,0.321,0.321,0.185,0.321,0.090,0.160,0.661,0.189,0.124,0.353,0.203,0.180,0.516,0.500,0.294,0.113,0.105,0.386
1324,1324,0.946,0.883,0.866,0.883,0.887,0.756,0.946,0.946,0.946,0.946,0.946,0.914,0.946,0.946,0.980,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.910,0.946,0.946,0.946,0.910,0.980,0.894,0.946,0.946,0.946,0.946,0.946,0.891,0.701,0.946,0.845
1325,1325,0.901,0.487,0.901,0.799,0.799,0.316,0.901,0.901,0.901,0.901,0.977,0.799,0.901,0.901,0.905,0.901,0.901,0.901,0.901,0.901,0.901,0.901,0.901,0.901,0.901,0.977,0.901,0.901,0.901,0.901,0.901,0.901,0.901,0.905,0.901,0.901,0.977,0.901,0.901,0.901,0.954,0.235,0.901,0.438
1326,1326,0.945,0.819,0.945,0.819,0.803,0.676,0.945,0.945,0.945,0.945,0.945,0.855,0.945,0.553,0.945,0.945,0.553,0.945,0.553,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.553,0.945,0.945,0.945,0.945,0.945,0.945,0.802,0.945,0.945,0.802
1327,1327,0.941,0.313,0.941,0.751,0.751,0.049,0.941,0.941,0.941,0.941,0.967,0.751,0.941,0.941,0.939,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.486,0.941,0.941,0.939,0.941,0.941,0.941,0.941,0.941,0.941,0.971,0.939,0.941,0.967
1328,1328,0.078,0.078,0.078,0.078,0.790,0.790,0.078,0.078,0.078,0.078,0.078,0.790,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.518,0.078,0.078,0.078,0.078,0.155,0.078,0.155,0.518,0.155,0.078,0.239,0.321,0.605,0.059,0.298,0.078,0.518,0.080,0.078,0.716
1329,1329,0.792,0.922,0.792,0.922,0.859,0.691,0.792,0.792,0.792,0.792,0.792,0.922,0.792,0.792,0.554,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.901,0.811,0.792,0.792,0.792,0.792,0.792,0.792,0.901,0.811,0.792
1330,1330,0.289,0.102,0.289,0.102,0.684,0.684,0.289,0.289,0.289,0.289,0.289,0.684,0.289,0.102,0.289,0.289,0.102,0.289,0.102,0.289,0.289,0.289,0.289,0.594,0.289,0.289,0.289,0.289,0.373,0.289,0.594,0.594,0.373,0.102,0.594,0.373,0.289,0.323,0.594,0.289,0.594,0.309,0.289,0.767
1331,1331,0.118,0.118,0.118,0.118,0.876,0.794,0.118,0.118,0.118,0.118,0.118,0.876,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.629,0.118,0.118,0.118,0.118,0.103,0.118,0.086,0.629,0.103,0.118,0.132,0.629,0.701,0.130,0.185,0.118,0.629,0.208,0.118,0.778
1332,1332,0.982,0.982,0.982,0.982,0.233,0.116,0.982,0.982,0.274,0.982,0.982,0.320,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.808,0.982,0.982,0.982,0.808,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.274,0.936
1333,1333,0.432,0.432,0.432,0.432,0.133,0.095,0.432,0.432,0.432,0.432,0.432,0.133,0.432,0.154,0.432,0.432,0.432,0.432,0.432,0.432,0.432,0.432,0.432,0.155,0.060,0.432,0.432,0.432,0.616,0.060,0.143,0.432,0.416,0.432,0.033,0.495,0.285,0.154,0.154,0.154,0.432,0.432,0.145,0.212
1334,1334,0.935,0.935,0.935,0.935,0.869,0.773,0.935,0.935,0.935,0.935,0.935,0.869,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.592,0.935,0.935,0.935,0.935,0.592,0.935,0.592,0.592,0.592,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.868
1335,1335,0.364,0.070,0.364,0.364,0.452,0.026,0.364,0.076,0.364,0.364,0.114,0.467,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.056,0.364,0.364,0.156,0.056,0.076,0.364,0.156,0.832,0.101,0.826,0.219,0.062,0.826,0.405,0.903,0.219,0.147,0.063
1336,1336,0.338,0.123,0.338,0.123,0.100,0.056,0.338,0.108,0.338,0.108,0.108,0.094,0.338,0.186,0.338,0.338,0.186,0.338,0.186,0.338,0.338,0.338,0.338,0.054,0.108,0.338,0.338,0.338,0.218,0.338,0.201,0.338,0.881,0.186,0.054,0.054,0.338,0.108,0.338,0.108,0.108,0.338,0.201,0.474
1337,1337,0.897,0.241,0.897,0.241,0.069,0.045,0.897,0.897,0.897,0.897,0.897,0.188,0.897,0.510,0.933,0.828,0.241,0.897,0.241,0.897,0.828,0.897,0.897,0.897,0.897,0.897,0.897,0.897,0.897,0.897,0.194,0.897,0.897,0.510,0.897,0.897,0.897,0.897,0.897,0.897,0.897,0.897,0.186,0.657
1338,1338,0.097,0.098,0.097,0.097,0.006,0.045,0.097,0.165,0.097,0.097,0.424,0.006,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.027,0.015,0.097,0.097,0.097,0.034,0.106,0.041,0.097,0.097,0.034,0.073,0.097,0.097,0.801,0.097,0.034,0.097,0.234,0.068,0.097
1339,1339,0.525,0.491,0.525,0.491,0.043,0.058,0.525,0.525,0.023,0.525,0.836,0.033,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.017,0.525,0.811,0.525,0.525,0.382,0.525,0.080,0.229,0.402,0.055,0.581,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.071,0.044
1340,1340,0.653,0.421,0.653,0.298,0.509,0.051,0.653,0.653,0.653,0.653,0.847,0.665,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.309,0.653,0.653,0.653,0.653,0.317,0.653,0.111,0.199,0.371,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.109,0.654
1341,1341,0.951,0.529,0.266,0.529,0.110,0.534,0.951,0.951,0.951,0.951,0.951,0.316,0.951,0.750,0.973,0.923,0.529,0.951,0.529,0.112,0.923,0.951,0.951,0.951,0.951,0.951,0.951,0.112,0.951,0.951,0.951,0.951,0.951,0.750,0.951,0.758,0.951,0.951,0.951,0.951,0.758,0.758,0.951,0.315
1342,1342,0.925,0.880,0.925,0.448,0.073,0.012,0.925,0.925,0.925,0.925,0.925,0.594,0.925,0.505,0.969,0.359,0.208,0.925,0.208,0.925,0.931,0.925,0.925,0.925,0.925,0.925,0.925,0.818,0.322,0.925,0.925,0.925,0.322,0.143,0.925,0.792,0.109,0.925,0.925,0.925,0.925,0.792,0.042,0.174
1343,1343,0.047,0.195,0.047,0.039,0.107,0.057,0.047,0.047,0.049,0.047,0.136,0.107,0.047,0.039,0.047,0.047,0.039,0.047,0.039,0.047,0.047,0.047,0.047,0.061,0.007,0.047,0.047,0.047,0.050,0.007,0.106,0.027,0.293,0.136,0.185,0.140,0.047,0.047,0.047,0.047,0.014,0.014,0.149,0.190
1344,1344,0.925,0.925,0.030,0.925,0.095,0.595,0.925,0.925,0.925,0.925,0.925,0.095,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.074,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.074,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.822,0.925,0.925,0.925,0.925,0.925,0.822,0.925,0.938
1345,1345,0.809,0.450,0.809,0.450,0.796,0.679,0.809,0.809,0.809,0.809,0.809,0.856,0.809,0.596,0.809,0.809,0.596,0.809,0.596,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.596,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.082,0.809
1346,1346,0.977,0.461,0.977,0.461,0.765,0.659,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.952,0.993,0.929,0.598,0.977,0.598,0.977,0.929,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.773,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.598,0.598,0.977
1347,1347,0.105,0.088,0.105,0.088,0.222,0.129,0.105,0.128,0.148,0.128,0.128,0.313,0.105,0.113,0.105,0.105,0.113,0.105,0.113,0.105,0.105,0.105,0.105,0.145,0.099,0.105,0.105,0.105,0.151,0.099,0.162,0.117,0.105,0.131,0.107,0.105,0.105,0.117,0.108,0.092,0.115,0.171,0.105,0.105
1348,1348,0.015,0.015,0.009,0.015,0.112,0.112,0.015,0.015,0.015,0.015,0.015,0.270,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.134,0.015,0.015,0.015,0.009,0.020,0.015,0.020,0.134,0.020,0.015,0.018,0.134,0.189,0.018,0.086,0.015,0.086,0.072,0.015,0.292
1349,1349,0.293,0.127,0.293,0.127,0.688,0.688,0.293,0.293,0.293,0.293,0.293,0.795,0.293,0.133,0.271,0.293,0.133,0.293,0.133,0.293,0.293,0.293,0.293,0.222,0.293,0.293,0.293,0.293,0.235,0.293,0.293,0.222,0.235,0.200,0.862,0.190,0.190,0.293,0.293,0.146,0.145,0.143,0.420,0.190
1350,1350,0.133,0.133,0.133,0.133,0.154,0.046,0.133,0.308,0.133,0.308,0.133,0.133,0.133,0.308,0.072,0.133,0.133,0.133,0.133,0.133,0.133,0.308,0.133,0.062,0.040,0.133,0.308,0.133,0.072,0.133,0.062,0.133,0.133,0.133,0.062,0.040,0.308,0.040,0.308,0.133,0.308,0.133,0.072,0.133
1351,1351,0.150,0.029,0.150,0.029,0.414,0.051,0.150,0.491,0.455,0.491,0.150,0.414,0.150,0.029,0.150,0.150,0.029,0.150,0.029,0.150,0.150,0.150,0.150,0.025,0.065,0.150,0.491,0.150,0.753,0.065,0.025,0.064,0.202,0.150,0.035,0.035,0.035,0.065,0.491,0.150,0.491,0.150,0.134,0.106
1352,1352,0.016,0.008,0.016,0.008,0.421,0.051,0.016,0.109,0.385,0.109,0.016,0.421,0.016,0.008,0.016,0.016,0.008,0.016,0.008,0.016,0.016,0.016,0.016,0.094,0.014,0.016,0.109,0.016,0.563,0.014,0.094,0.030,0.047,0.008,0.030,0.017,0.012,0.014,0.024,0.016,0.010,0.011,0.071,0.016
1353,1353,0.107,0.107,0.107,0.107,0.035,0.045,0.107,0.008,0.067,0.144,0.109,0.035,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.008,0.008,0.107,0.144,0.107,0.109,0.025,0.105,0.107,0.107,0.039,0.036,0.036,0.107,0.036,0.144,0.107,0.107,0.107,0.105,0.107
1354,1354,0.025,0.025,0.025,0.025,0.172,0.083,0.025,0.025,0.065,0.025,0.025,0.172,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.010,0.025,0.025,0.025,0.078,0.010,0.193,0.025,0.265,0.025,0.051,0.256,0.265,0.025,0.025,0.025,0.013,0.015,0.294,0.192
1355,1355,0.510,0.848,0.510,0.848,0.817,0.705,0.510,0.510,0.510,0.510,0.510,0.832,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.892,0.510,0.848,0.510,0.510,0.510,0.510,0.510,0.670,0.510,0.848,0.230
1356,1356,0.766,0.502,0.766,0.502,0.146,0.048,0.766,0.038,0.209,0.038,0.038,0.246,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.020,0.079,0.766,0.766,0.766,0.104,0.079,0.026,0.502,0.761,0.766,0.766,0.766,0.766,0.038,0.766,0.766,0.766,0.038,0.102,0.332
1357,1357,0.549,0.341,0.549,0.347,0.401,0.064,0.549,0.549,0.549,0.549,0.830,0.713,0.549,0.549,0.286,0.549,0.549,0.549,0.549,0.549,0.549,0.549,0.549,0.080,0.549,0.883,0.549,0.549,0.457,0.549,0.152,0.080,0.457,0.286,0.450,0.549,0.549,0.549,0.549,0.549,0.549,0.636,0.106,0.163
1358,1358,0.734,0.734,0.217,0.734,0.183,0.569,0.734,0.734,0.734,0.734,0.734,0.221,0.734,0.485,0.598,0.734,0.485,0.734,0.485,0.191,0.734,0.734,0.734,0.294,0.734,0.734,0.734,0.191,0.734,0.734,0.294,0.294,0.734,0.598,0.695,0.748,0.734,0.734,0.734,0.734,0.734,0.294,0.734,0.535
1359,1359,0.257,0.257,0.257,0.257,0.182,0.420,0.257,0.257,0.257,0.182,0.182,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.182,0.257,0.257,0.257,0.257,0.257,0.257,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.257,0.182,0.729
1360,1360,0.362,0.276,0.121,0.342,0.121,0.052,0.362,0.362,0.362,0.362,0.859,0.123,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.342,0.362,0.362,0.362,0.121,0.060,0.362,0.227,0.342,0.060,0.121,0.362,0.362,0.362,0.121,0.362,0.362,0.362,0.121,0.075,0.349
1361,1361,0.019,0.019,0.019,0.019,0.475,0.475,0.019,0.019,0.071,0.019,0.803,0.475,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.225,0.019,0.803,0.019,0.019,0.228,0.019,0.057,0.134,0.101,0.019,0.097,0.028,0.680,0.019,0.803,0.097,0.153,0.142,0.095,0.218
1362,1362,0.240,0.240,0.240,0.240,0.156,0.076,0.240,0.240,0.240,0.240,0.240,0.156,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.039,0.039,0.240,0.240,0.240,0.255,0.039,0.173,0.240,0.513,0.240,0.240,0.416,0.626,0.240,0.240,0.240,0.240,0.239,0.159,0.220
1363,1363,0.528,0.545,0.297,0.545,0.823,0.706,0.528,0.528,0.528,0.528,0.528,0.640,0.528,0.528,0.569,0.528,0.528,0.528,0.528,0.528,0.528,0.528,0.528,0.528,0.528,0.528,0.528,0.528,0.378,0.528,0.528,0.528,0.378,0.962,0.268,0.280,0.528,0.528,0.528,0.173,0.528,0.173,0.271,0.276
1364,1364,0.892,0.304,0.892,0.304,0.840,0.729,0.892,0.892,0.892,0.892,0.892,0.915,0.892,0.225,0.711,0.822,0.095,0.892,0.095,0.892,0.822,0.892,0.892,0.811,0.892,0.892,0.892,0.892,0.892,0.892,0.892,0.811,0.892,0.669,0.558,0.892,0.892,0.892,0.892,0.735,0.713,0.456,0.356,0.845
1365,1365,0.016,0.016,0.016,0.016,0.607,0.052,0.016,0.104,0.256,0.104,0.317,0.607,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.080,0.012,0.317,0.104,0.016,0.607,0.012,0.080,0.016,0.061,0.016,0.094,0.007,0.184,0.012,0.184,0.036,0.104,0.034,0.082,0.016
1366,1366,0.930,0.824,0.930,0.824,0.824,0.668,0.930,0.930,0.930,0.930,0.930,0.824,0.930,0.930,0.968,0.930,0.930,0.930,0.930,0.930,0.930,0.930,0.930,0.930,0.930,0.930,0.930,0.930,0.930,0.930,0.930,0.930,0.930,0.968,0.824,0.930,0.930,0.930,0.930,0.930,0.967,0.804,0.930,0.930
1367,1367,0.421,0.290,0.425,0.267,0.155,0.080,0.421,0.421,0.177,0.421,0.378,0.259,0.421,0.074,0.421,0.421,0.074,0.421,0.074,0.421,0.421,0.421,0.421,0.521,0.421,0.421,0.421,0.421,0.273,0.421,0.289,0.207,0.387,0.244,0.407,0.421,0.421,0.421,0.879,0.501,0.421,0.510,0.113,0.447
1368,1368,0.115,0.038,0.115,0.038,0.543,0.051,0.115,0.736,0.115,0.736,0.115,0.197,0.115,0.033,0.115,0.115,0.033,0.115,0.033,0.115,0.115,0.115,0.115,0.162,0.736,0.115,0.736,0.115,0.775,0.115,0.162,0.638,0.279,0.086,0.038,0.066,0.115,0.066,0.736,0.291,0.115,0.115,0.158,0.046
1369,1369,0.689,0.392,0.689,0.443,0.612,0.056,0.689,0.689,0.541,0.689,0.690,0.619,0.689,0.137,0.577,0.689,0.137,0.689,0.137,0.689,0.689,0.689,0.689,0.536,0.689,0.689,0.689,0.689,0.577,0.689,0.222,0.536,0.408,0.577,0.523,0.689,0.689,0.689,0.689,0.571,0.200,0.577,0.228,0.434
1370,1370,0.965,0.965,0.894,0.965,0.864,0.776,0.965,0.965,0.965,0.965,0.965,0.874,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.626,0.965,0.965,0.965,0.626,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.895
1371,1371,0.409,0.409,0.159,0.409,0.100,0.100,0.409,0.409,0.409,0.409,0.409,0.247,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.159,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.159,0.409,0.409,0.409,0.168,0.409,0.313
1372,1372,0.137,0.028,0.137,0.028,0.065,0.011,0.137,0.137,0.137,0.066,0.397,0.117,0.137,0.059,0.137,0.137,0.059,0.137,0.059,0.137,0.137,0.137,0.137,0.069,0.137,0.137,0.137,0.137,0.137,0.066,0.098,0.069,0.137,0.059,0.186,0.186,0.066,0.137,0.186,0.122,0.186,0.178,0.068,0.122
1373,1373,0.473,0.738,0.473,0.726,0.045,0.056,0.473,0.734,0.042,0.473,0.720,0.045,0.473,0.473,0.483,0.473,0.473,0.473,0.473,0.473,0.473,0.473,0.473,0.216,0.033,0.865,0.473,0.473,0.545,0.104,0.169,0.423,0.635,0.040,0.405,0.473,0.211,0.473,0.473,0.289,0.473,0.052,0.122,0.211
1374,1374,0.131,0.023,0.131,0.023,0.317,0.051,0.131,0.367,0.642,0.367,0.544,0.653,0.131,0.071,0.179,0.152,0.023,0.131,0.023,0.131,0.152,0.131,0.131,0.153,0.049,0.544,0.367,0.131,0.848,0.049,0.153,0.029,0.238,0.071,0.175,0.036,0.818,0.049,0.818,0.544,0.367,0.120,0.280,0.040
1375,1375,0.081,0.081,0.081,0.081,0.688,0.048,0.081,0.447,0.361,0.447,0.081,0.688,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.025,0.013,0.081,0.447,0.081,0.319,0.013,0.025,0.081,0.214,0.081,0.025,0.021,0.013,0.013,0.021,0.081,0.029,0.081,0.147,0.228
1376,1376,0.234,0.090,0.234,0.090,0.028,0.019,0.234,0.125,0.410,0.125,0.511,0.179,0.234,0.159,0.113,0.173,0.090,0.234,0.090,0.234,0.265,0.234,0.234,0.355,0.125,0.757,0.234,0.157,0.330,0.234,0.390,0.184,0.415,0.042,0.116,0.189,0.101,0.045,0.429,0.224,0.125,0.275,0.329,0.088
1377,1377,0.970,0.970,0.056,0.970,0.109,0.725,0.970,0.970,0.970,0.970,0.970,0.161,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.020,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.020,0.970,0.970,0.970,0.970,0.970,0.141,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.902
1378,1378,0.971,0.536,0.971,0.536,0.673,0.673,0.971,0.971,0.971,0.971,0.971,0.901,0.971,0.237,0.990,0.897,0.090,0.971,0.090,0.971,0.897,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.796,0.971,0.971,0.971,0.796,0.794,0.971,0.971,0.402,0.971,0.971,0.971,0.971,0.592,0.352,0.578
1379,1379,0.044,0.059,0.044,0.033,0.374,0.053,0.044,0.535,0.044,0.535,0.250,0.125,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.041,0.535,0.044,0.535,0.044,0.461,0.044,0.120,0.278,0.089,0.044,0.011,0.023,0.044,0.023,0.535,0.090,0.044,0.044,0.108,0.044
1380,1380,0.042,0.159,0.042,0.159,0.140,0.011,0.042,0.060,0.023,0.060,0.042,0.271,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.009,0.018,0.042,0.060,0.022,0.092,0.018,0.009,0.042,0.094,0.057,0.022,0.009,0.048,0.024,0.048,0.022,0.123,0.042,0.021,0.048
1381,1381,0.081,0.081,0.081,0.081,0.688,0.048,0.081,0.464,0.367,0.464,0.081,0.688,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.110,0.043,0.081,0.464,0.081,0.688,0.043,0.103,0.081,0.103,0.081,0.023,0.026,0.048,0.043,0.048,0.081,0.464,0.029,0.103,0.081
1382,1382,0.928,0.194,0.928,0.194,0.422,0.049,0.928,0.928,0.640,0.928,0.986,0.743,0.928,0.825,0.967,0.864,0.379,0.928,0.379,0.928,0.864,0.928,0.928,0.380,0.928,0.928,0.928,0.928,0.820,0.928,0.233,0.800,0.820,0.524,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.379,0.109,0.510
1383,1383,0.071,0.028,0.071,0.028,0.055,0.040,0.071,0.071,0.071,0.071,0.059,0.048,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.014,0.071,0.514,0.071,0.071,0.026,0.094,0.055,0.027,0.071,0.071,0.290,0.060,0.060,0.071,0.094,0.059,0.094,0.071,0.029,0.071
1384,1384,0.102,0.105,0.102,0.105,0.110,0.056,0.102,0.102,0.037,0.102,0.102,0.162,0.102,0.070,0.331,0.102,0.070,0.102,0.070,0.102,0.102,0.102,0.102,0.098,0.102,0.102,0.102,0.102,0.116,0.102,0.049,0.196,0.529,0.102,0.250,0.577,0.102,0.124,0.567,0.122,0.491,0.129,0.016,0.335
1385,1385,0.030,0.131,0.128,0.131,0.188,0.561,0.030,0.030,0.030,0.030,0.030,0.345,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.040,0.030,0.030,0.030,0.171,0.030,0.030,0.030,0.028,0.030,0.030,0.036,0.171,0.030,0.011,0.011,0.171,0.094,0.040,0.011,0.040,0.103,0.393,0.040,0.136
